county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day,
Warrick,BOON 15,Judge Superior Court No. 2,,REP,Brett Michael Roy,961,40,597,324,
Warrick,BOON 15,Clerk Of The Circuit Court,,REP,Mike Wilson,957,40,593,324,
Warrick,BOON 15,County Recorder,,REP,Patricia (Patty) Perry,951,40,587,324,
Warrick,BOON 15,County Treasurer,,REP,Tabitha Heilman,938,38,576,324,
Warrick,BOON 15,County Coroner,,REP,Alissa (Salee) Enright,941,37,578,326,
Warrick,BOON 15,County Surveyor,,REP,Dennis Witzbacher,930,35,576,319,
Warrick,BOON 15,County Commissioner Dist 1,,REP,Sarah Hollis-Sexton,787,34,495,263,
Warrick,BOON 15,County Commissioner Dist 1,,DEM,John T. Mattingly,388,34,252,102,
Warrick,BOON 15,County Commissioner Dist 3,,REP,Stacey Franz,782,30,496,256,
Warrick,BOON 15,County Commissioner Dist 3,,DEM,Trent Curtis,385,29,246,110,
Warrick,BOON 15,County Council At-Large,,REP,Ron Bacon,719,32,466,221,
Warrick,BOON 15,County Council At-Large,,REP,Patricia Pat (McIntyre) Brooks,671,27,444,227,
Warrick,BOON 15,County Council At-Large,,REP,Brad Overton,671,27,440,227,
Warrick,BOON 15,County Council At-Large,,DEM,Mason Barclay,398,22,240,136,
Warrick,BOON 15,Warrick County School Board,,NP,Lynda G. Glover,405,22,255,128,
Warrick,BOON 15,Warrick County School Board,,NP,Robert (Bobby) Howard,192,8,107,77,
Warrick,BOON 15,Warrick County School Board,,NP,Brenda K. Metzger,457,29,274,154,
Warrick,BOON 15,Warrick County School Board,,NP,Tim Mosbey,457,29,261,167,
Warrick,BOON 15,Warrick County School Board,,NP,James (Jim) Post,383,16,265,103,
Warrick,BOON 15,Warrick County School Board,,NP,Andrew E. Skinner,511,16,305,189,
Warrick,BOON 15,IN Supreme Court-Rush,,,Yes,680,28,420,232,
Warrick,BOON 15,IN Supreme Court-Rush,,,No,222,13,140,69,
Warrick,BOON 15,IN Supreme Court-Massa,,,Yes,675,26,422,223,
Warrick,BOON 15,IN Supreme Court-Massa,,,No,220,10,134,76,
Warrick,BOON 15,IN Supreme Court-Molter,,,Yes,677,26,426,222,
Warrick,BOON 15,IN Supreme Court-Molter,,,No,219,11,134,74,
Warrick,BOON 15,Court of Appeals Dist 1-Foley,,,Yes,675,29,419,227,
Warrick,BOON 15,Court of Appeals Dist 1-Foley,,,No,213,11,133,69,
Warrick,BOON 15,Court of Appeals Dist 4-Pyle III,,,Yes,667,28,414,225,
Warrick,BOON 15,Court of Appeals Dist 4-Pyle III,,,No,219,12,138,69,
Warrick,CAMPBELL,Registered Voters,,,,904,,,,
Warrick,CAMPBELL,Ballots Cast,,,,706,29,313,364,
Warrick,CAMPBELL,Public Question-Const Amendment,,,Yes,303,8,143,152,
Warrick,CAMPBELL,Public Question-Const Amendment,,,No,292,12,135,145,
Warrick,CAMPBELL,President,,REP,Donald J. Trump,525,15,232,278,
Warrick,CAMPBELL,President,,DEM,Kamala D. Harris,166,14,77,75,
Warrick,CAMPBELL,President,,LIB,Chase Oliver,2,0,1,1,
Warrick,CAMPBELL,President,,WTP,Robert F. Kennedy Jr.,6,0,1,5,
Warrick,CAMPBELL,President,,,Write-In,2,0,0,2,
Warrick,CAMPBELL,U.S. Senate,,REP,Jim Banks,504,15,226,263,
Warrick,CAMPBELL,U.S. Senate,,DEM,Valerie McCray,152,12,72,66,
Warrick,CAMPBELL,U.S. Senate,,LIB,Andrew Horning,6,0,0,6,
Warrick,CAMPBELL,Governor,,REP,Mike Braun,501,15,227,258,
Warrick,CAMPBELL,Governor,,DEM,Jennifer G. McCormick,166,12,76,78,
Warrick,CAMPBELL,Governor,,LIB,Donald Rainwater II,8,0,2,6,
Warrick,CAMPBELL,Attorney General,,REP,Todd Rokita,513,14,232,267,
Warrick,CAMPBELL,Attorney General,,DEM,Destiny Wells,156,13,71,72,
Warrick,CAMPBELL,U.S. House,8,REP,Mark Messmer,516,13,232,271,
Warrick,CAMPBELL,U.S. House,8,DEM,Erik Hurt,153,14,70,69,
Warrick,CAMPBELL,U.S. House,8,LIB,S. Richard Fitzlaff,5,0,2,3,
Warrick,CAMPBELL,State Senate,50,REP,Vaneta Becker,531,23,238,273,
Warrick,CAMPBELL,State Senate,50,IND,John Woodard,72,4,29,39,
Warrick,CAMPBELL,State House,75,REP,Stephen Ledbetter,549,23,242,284,
Warrick,CAMPBELL,Judge Superior Court No. 1,,REP,Kristina Hamby (Krista) Weiberg,556,23,241,292,
Warrick,CAMPBELL,Judge Superior Court No. 2,,REP,Brett Michael Roy,563,23,243,297,
Warrick,CAMPBELL,Clerk Of The Circuit Court,,REP,Mike Wilson,561,22,246,293,
Warrick,CAMPBELL,County Recorder,,REP,Patricia (Patty) Perry,568,23,250,295,
Warrick,CAMPBELL,County Treasurer,,REP,Tabitha Heilman,556,23,245,288,
Warrick,CAMPBELL,County Coroner,,REP,Alissa (Salee) Enright,552,23,240,289,
Warrick,CAMPBELL,County Surveyor,,REP,Dennis Witzbacher,563,23,244,296,
Warrick,CAMPBELL,County Commissioner Dist 1,,REP,Sarah Hollis-Sexton,504,17,227,260,
Warrick,CAMPBELL,County Commissioner Dist 1,,DEM,John T. Mattingly,161,11,74,76,
Warrick,CAMPBELL,County Commissioner Dist 3,,REP,Stacey Franz,509,14,224,271,
Warrick,CAMPBELL,County Commissioner Dist 3,,DEM,Trent Curtis,152,13,76,63,
Warrick,CAMPBELL,County Council At-Large,,REP,Ron Bacon,464,13,213,238,
Warrick,CAMPBELL,County Council At-Large,,REP,Patricia Pat (McIntyre) Brooks,400,17,192,192,
Warrick,CAMPBELL,County Council At-Large,,REP,Brad Overton,400,17,172,212,
Warrick,CAMPBELL,County Council At-Large,,DEM,Mason Barclay,169,9,75,85,
Warrick,CAMPBELL,Warrick County School Board,,NP,Lynda G. Glover,235,11,117,109,
Warrick,CAMPBELL,Warrick County School Board,,NP,Robert (Bobby) Howard,123,6,50,67,
Warrick,CAMPBELL,Warrick County School Board,,NP,Brenda K. Metzger,343,18,152,173,
Warrick,CAMPBELL,Warrick County School Board,,NP,Tim Mosbey,162,11,75,76,
Warrick,CAMPBELL,Warrick County School Board,,NP,James (Jim) Post,255,9,160,117,
Warrick,CAMPBELL,Warrick County School Board,,NP,Andrew E. Skinner,255,9,100,146,
Warrick,CAMPBELL,IN Supreme Court-Rush,,,Yes,379,16,170,193,
Warrick,CAMPBELL,IN Supreme Court-Rush,,,No,130,4,61,65,
Warrick,CAMPBELL,IN Supreme Court-Massa,,,Yes,397,17,180,200,
Warrick,CAMPBELL,IN Supreme Court-Massa,,,No,107,3,50,54,
Warrick,CAMPBELL,IN Supreme Court-Molter,,,Yes,399,17,177,205,
Warrick,CAMPBELL,IN Supreme Court-Molter,,,No,104,3,50,51,
Warrick,CAMPBELL,Court of Appeals Dist 1-Foley,,,Yes,405,18,183,205,
Warrick,CAMPBELL,Court of Appeals Dist 1-Foley,,,No,95,4,42,49,
Warrick,CAMPBELL,Court of Appeals Dist 4-Pyle III,,,Yes,399,18,175,206,
Warrick,CAMPBELL,Court of Appeals Dist 4-Pyle III,,,No,98,3,49,46,
Warrick,GREER 1,Registered Voters,,,,793,,,,
Warrick,GREER 1,Ballots Cast,,,,549,18,214,317,
Warrick,GREER 1,Public Question-Const Amendment,,,Yes,249,7,93,149,
Warrick,GREER 1,Public Question-Const Amendment,,,No,218,6,90,122,
Warrick,GREER 1,President,,REP,Donald J. Trump,398,13,152,233,
Warrick,GREER 1,President,,DEM,Kamala D. Harris,133,5,55,73,
Warrick,GREER 1,President,,LIB,Chase Oliver,2,0,2,0,
Warrick,GREER 1,President,,WTP,Robert F. Kennedy Jr.,9,0,2,7,
Warrick,GREER 1,U.S. Senate,,REP,Jim Banks,365,14,142,209,
Warrick,GREER 1,U.S. Senate,,DEM,Valerie McCray,121,3,50,68,
Warrick,GREER 1,U.S. Senate,,LIB,Andrew Horning,13,0,1,12,
Warrick,GREER 1,Governor,,REP,Mike Braun,370,14,145,211,
Warrick,GREER 1,Governor,,DEM,Jennifer G. McCormick,124,4,52,69,
Warrick,GREER 1,Governor,,LIB,Donald Rainwater II,20,0,5,15,
Warrick,GREER 1,Attorney General,,REP,Todd Rokita,398,14,155,229,
Warrick,GREER 1,Attorney General,,DEM,Destiny Wells,125,3,48,74,
Warrick,GREER 1,U.S. House,8,REP,Mark Messmer,392,14,153,225,
Warrick,GREER 1,U.S. House,8,DEM,Erik Hurt,117,4,48,66,
Warrick,GREER 1,U.S. House,8,LIB,S. Richard Fitzlaff,11,0,2,9,
Warrick,GREER 1,State Senate,50,REP,Vaneta Becker,426,15,166,245,
Warrick,GREER 1,State Senate,50,IND,John Woodard,62,0,19,43,
Warrick,GREER 1,State House,75,REP,Stephen Ledbetter,449,14,172,263,
Warrick,GREER 1,Judge Superior Court No. 1,,REP,Kristina Hamby (Krista) Weiberg,439,15,170,254,
Warrick,GREER 1,Judge Superior Court No. 2,,REP,Brett Michael Roy,466,15,179,272,
Warrick,GREER 1,Clerk Of The Circuit Court,,REP,Mike Wilson,444,14,171,259,
Warrick,GREER 1,County Recorder,,REP,Patricia (Patty) Perry,449,14,175,260,
Warrick,GREER 1,County Treasurer,,REP,Tabitha Heilman,439,14,169,256,
Warrick,GREER 1,County Coroner,,REP,Alissa (Salee) Enright,444,14,173,257,
Warrick,GREER 1,County Surveyor,,REP,Dennis Witzbacher,441,14,171,256,
Warrick,GREER 1,County Commissioner Dist 1,,REP,Sarah Hollis-Sexton,379,15,152,214,
Warrick,GREER 1,County Commissioner Dist 1,,DEM,John T. Mattingly,140,3,49,86,
Warrick,GREER 1,County Commissioner Dist 3,,REP,Stacey Franz,371,13,144,214,
Warrick,GREER 1,County Commissioner Dist 3,,DEM,Trent Curtis,150,5,58,87,
Warrick,GREER 1,County Council At-Large,,REP,Ron Bacon,340,8,133,199,
Warrick,GREER 1,County Council At-Large,,REP,Patricia Pat (McIntyre) Brooks,282,8,110,164,
Warrick,GREER 1,County Council At-Large,,REP,Brad Overton,305,8,112,185,
Warrick,GREER 1,County Council At-Large,,DEM,Mason Barclay,151,2,57,92,
Warrick,GREER 1,Warrick County School Board,,NP,Lynda G. Glover,216,5,79,128,
Warrick,GREER 1,Warrick County School Board,,NP,Robert (Bobby) Howard,140,6,44,90,
Warrick,GREER 1,Warrick County School Board,,NP,Brenda K. Metzger,204,8,86,120,
Warrick,GREER 1,Warrick County School Board,,NP,Tim Mosbey,262,7,104,151,
Warrick,GREER 1,Warrick County School Board,,NP,James (Jim) Post,110,1,41,68,
Warrick,GREER 1,Warrick County School Board,,NP,Andrew E. Skinner,130,1,53,76,
Warrick,GREER 1,IN Supreme Court-Rush,,,Yes,309,10,119,180,
Warrick,GREER 1,IN Supreme Court-Rush,,,No,107,3,39,65,
Warrick,GREER 1,IN Supreme Court-Massa,,,Yes,302,10,108,184,
Warrick,GREER 1,IN Supreme Court-Massa,,,No,114,3,49,62,
Warrick,GREER 1,IN Supreme Court-Molter,,,Yes,303,9,112,183,
Warrick,GREER 1,IN Supreme Court-Molter,,,No,109,4,42,63,
Warrick,GREER 1,Court of Appeals Dist 1-Foley,,,Yes,298,8,112,178,
Warrick,GREER 1,Court of Appeals Dist 1-Foley,,,No,109,4,43,62,
Warrick,GREER 1,Court of Appeals Dist 4-Pyle III,,,Yes,301,10,115,176,
Warrick,GREER 1,Court of Appeals Dist 4-Pyle III,,,No,111,3,41,67,
Warrick,GREER 2,Registered Voters,,,,571,,,,
Warrick,GREER 2,Ballots Cast,,,,445,11,204,230,
Warrick,GREER 2,Public Question-Const Amendment,,,Yes,208,2,95,111,
Warrick,GREER 2,Public Question-Const Amendment,,,No,169,3,79,87,
Warrick,GREER 2,President,,REP,Donald J. Trump,345,10,149,186,
Warrick,GREER 2,President,,DEM,Kamala D. Harris,90,1,45,39,
Warrick,GREER 2,President,,LIB,Chase Oliver,1,0,1,0,
Warrick,GREER 2,President,,WTP,Robert F. Kennedy Jr.,5,0,1,4,
Warrick,GREER 2,U.S. Senate,,REP,Jim Banks,324,10,143,171,
Warrick,GREER 2,U.S. Senate,,DEM,Valerie McCray,86,1,48,37,
Warrick,GREER 2,U.S. Senate,,LIB,Andrew Horning,9,0,2,7,
Warrick,GREER 2,Governor,,REP,Mike Braun,317,10,141,166,
Warrick,GREER 2,Governor,,DEM,Jennifer G. McCormick,95,1,46,48,
Warrick,GREER 2,Governor,,LIB,Donald Rainwater II,15,0,5,10,
Warrick,GREER 2,Attorney General,,REP,Todd Rokita,331,10,145,176,
Warrick,GREER 2,Attorney General,,DEM,Destiny Wells,90,1,46,43,
Warrick,GREER 2,U.S. House,8,REP,Mark Messmer,336,10,151,175,
Warrick,GREER 2,U.S. House,8,DEM,Erik Hurt,76,1,41,34,
Warrick,GREER 2,U.S. House,8,LIB,S. Richard Fitzlaff,7,0,2,5,
Warrick,GREER 2,State Senate,50,REP,Vaneta Becker,362,10,164,188,
Warrick,GREER 2,State Senate,50,IND,John Woodard,53,0,24,29,
Warrick,GREER 2,State House,75,REP,Stephen Ledbetter,372,10,163,199,
Warrick,GREER 2,Judge Superior Court No. 1,,REP,Kristina Hamby (Krista) Weiberg,375,10,168,198,
Warrick,GREER 2,Judge Superior Court No. 2,,REP,Brett Michael Roy,387,10,173,204,
Warrick,GREER 2,Clerk Of The Circuit Court,,REP,Mike Wilson,376,10,165,201,
Warrick,GREER 2,County Recorder,,REP,Patricia (Patty) Perry,381,10,169,202,
Warrick,GREER 2,County Treasurer,,REP,Tabitha Heilman,373,10,165,198,
Warrick,GREER 2,County Coroner,,REP,Alissa (Salee) Enright,370,10,165,195,
Warrick,GREER 2,County Surveyor,,REP,Dennis Witzbacher,372,10,165,197,
Warrick,GREER 2,County Commissioner Dist 1,,REP,Sarah Hollis-Sexton,318,9,141,168,
Warrick,GREER 2,County Commissioner Dist 1,,DEM,John T. Mattingly,91,1,45,44,
Warrick,GREER 2,County Commissioner Dist 3,,REP,Stacey Franz,317,10,143,164,
Warrick,GREER 2,County Commissioner Dist 3,,DEM,Trent Curtis,96,1,45,50,
Warrick,GREER 2,County Council At-Large,,REP,Ron Bacon,291,6,135,150,
Warrick,GREER 2,County Council At-Large,,REP,Patricia Pat (McIntyre) Brooks,255,6,115,134,
Warrick,GREER 2,County Council At-Large,,REP,Brad Overton,255,6,115,134,
Warrick,GREER 2,County Council At-Large,,DEM,Mason Barclay,127,0,61,66,
Warrick,GREER 2,Warrick County School Board,,NP,Lynda G. Glover,167,5,83,80,
Warrick,GREER 2,Warrick County School Board,,NP,Robert (Bobby) Howard,109,0,56,53,
Warrick,GREER 2,Warrick County School Board,,NP,Brenda K. Metzger,167,2,75,90,
Warrick,GREER 2,Warrick County School Board,,NP,Tim Mosbey,225,1,98,126,
Warrick,GREER 2,Warrick County School Board,,NP,James (Jim) Post,96,3,42,51,
Warrick,GREER 2,Warrick County School Board,,NP,Andrew E. Skinner,142,3,69,80,
Warrick,GREER 2,IN Supreme Court-Rush,,,Yes,264,5,120,139,
Warrick,GREER 2,IN Supreme Court-Rush,,,No,71,0,34,37,
Warrick,GREER 2,IN Supreme Court-Massa,,,Yes,265,0,118,142,
Warrick,GREER 2,IN Supreme Court-Massa,,,No,65,0,32,33,
Warrick,GREER 2,IN Supreme Court-Molter,,,Yes,260,5,114,141,
Warrick,GREER 2,IN Supreme Court-Molter,,,No,69,0,32,37,
Warrick,GREER 2,Court of Appeals Dist 1-Foley,,,Yes,257,4,115,138,
Warrick,GREER 2,Court of Appeals Dist 1-Foley,,,No,68,0,31,37,
Warrick,GREER 2,Court of Appeals Dist 4-Pyle III,,,Yes,260,4,113,143,
Warrick,GREER 2,Court of Appeals Dist 4-Pyle III,,,No,67,0,33,34,
Warrick,HART,Registered Voters,,,,1147,,,,
Warrick,HART,Ballots Cast,,,,858,26,540,292,
Warrick,HART,Public Question-Const Amendment,,,Yes,355,10,217,132,
Warrick,HART,Public Question-Const Amendment,,,No,358,10,233,115,
Warrick,HART,President,,REP,Donald J. Trump,585,14,366,208,
Warrick,HART,President,,DEM,Kamala D. Harris,253,11,165,74,
Warrick,HART,President,,LIB,Chase Oliver,2,0,0,2,
Warrick,HART,President,,WTP,Robert F. Kennedy Jr.,7,0,6,1,
Warrick,HART,President,,,Write-In,1,0,1,0,
Warrick,HART,U.S. Senate,,REP,Jim Banks,516,11,326,179,
Warrick,HART,U.S. Senate,,DEM,Valerie McCray,238,14,152,70,
Warrick,HART,U.S. Senate,,LIB,Andrew Horning,25,1,10,14,
Warrick,HART,Governor,,REP,Mike Braun,517,13,330,174,
Warrick,HART,Governor,,DEM,Jennifer G. McCormick,272,13,173,86,
Warrick,HART,Governor,,LIB,Donald Rainwater II,27,0,9,18,
Warrick,HART,Attorney General,,REP,Todd Rokita,559,14,352,193,
Warrick,HART,Attorney General,,DEM,Destiny Wells,253,12,163,78,
Warrick,HART,U.S. House,8,REP,Mark Messmer,562,12,351,199,
Warrick,HART,U.S. House,8,DEM,Erik Hurt,232,13,154,65,
Warrick,HART,U.S. House,8,LIB,S. Richard Fitzlaff,26,1,12,13,
Warrick,HART,U.S. House,8,,,Write-In,1,0,0,1
Warrick,HART,State Senate,50,REP,Vaneta Becker,594,15,387,191,
Warrick,HART,State Senate,50,IND,John Woodard,129,0,70,59,
Warrick,HART,State House,75,REP,Stephen Ledbetter,626,16,390,220,
Warrick,HART,Judge Superior Court No. 1,,REP,Kristina Hamby (Krista) Weiberg,624,16,388,220,
Warrick,HART,Judge Superior Court No. 2,,REP,Brett Michael Roy,692,16,436,240,
Warrick,HART,Clerk Of The Circuit Court,,REP,Mike Wilson,640,16,402,222,
Warrick,HART,County Recorder,,REP,Patricia (Patty) Perry,641,16,402,223,
Warrick,HART,County Treasurer,,REP,Tabitha Heilman,630,16,392,222,
Warrick,HART,County Coroner,,REP,Alissa (Salee) Enright,635,16,395,224,
Warrick,HART,County Surveyor,,REP,Dennis Witzbacher,630,16,393,221,
Warrick,HART,County Commissioner Dist 1,,REP,Sarah Hollis-Sexton,534,15,329,191,
Warrick,HART,County Commissioner Dist 1,,DEM,John T. Mattingly,270,12,177,81,
Warrick,HART,County Commissioner Dist 3,,REP,Stacey Franz,528,12,336,180,
Warrick,HART,County Commissioner Dist 3,,DEM,Trent Curtis,289,14,180,95,
Warrick,HART,County Council At-Large,,REP,Ron Bacon,472,11,302,163,
Warrick,HART,County Council At-Large,,REP,Patricia Pat (McIntyre) Brooks,440,11,288,141,
Warrick,HART,County Council At-Large,,REP,Brad Overton,440,11,274,155,
Warrick,HART,County Council At-Large,,DEM,Mason Barclay,340,8,202,130,
Warrick,HART,Warrick County School Board,,NP,Lynda G. Glover,306,12,197,104,
Warrick,HART,Warrick County School Board,,NP,Robert (Bobby) Howard,255,10,171,80,
Warrick,HART,Warrick County School Board,,NP,Brenda K. Metzger,306,4,178,124,
Warrick,HART,Warrick County School Board,,NP,Tim Mosbey,434,10,273,151,
Warrick,HART,Warrick County School Board,,NP,James (Jim) Post,226,10,125,96,
Warrick,HART,Warrick County School Board,,NP,Andrew E. Skinner,194,4,125,66,
Warrick,HART,IN Supreme Court-Rush,,,Yes,427,12,269,146,
Warrick,HART,IN Supreme Court-Rush,,,No,187,1,126,60,
Warrick,HART,IN Supreme Court-Massa,,,Yes,419,10,267,142,
Warrick,HART,IN Supreme Court-Massa,,,No,190,3,125,62,
Warrick,HART,IN Supreme Court-Molter,,,Yes,418,11,266,141,
Warrick,HART,IN Supreme Court-Molter,,,No,185,2,120,63,
Warrick,HART,Court of Appeals Dist 1-Foley,,,Yes,421,11,265,145,
Warrick,HART,Court of Appeals Dist 1-Foley,,,No,170,0,116,54,
Warrick,HART,Court of Appeals Dist 4-Pyle III,,,Yes,417,11,266,140,
Warrick,HART,Court of Appeals Dist 4-Pyle III,,,No,177,0,117,60,
Warrick,LANE,Registered Voters,,,,191,,,,
Warrick,LANE,Ballots Cast,,,,127,6,57,64,
Warrick,LANE,Public Question-Const Amendment,,,Yes,59,0,22,37,
Warrick,LANE,Public Question-Const Amendment,,,No,52,5,23,24,
Warrick,LANE,President,,REP,Donald J. Trump,97,1,43,53,
Warrick,LANE,President,,DEM,Kamala D. Harris,27,5,15,10,
Warrick,LANE,President,,WTP,Robert F. Kennedy Jr.,1,0,0,1,
Warrick,LANE,U.S. Senate,,REP,Jim Banks,89,1,40,48,
Warrick,LANE,U.S. Senate,,DEM,Valerie McCray,27,5,14,8,
Warrick,LANE,U.S. Senate,,LIB,Andrew Horning,2,0,2,0,
Warrick,LANE,Governor,,REP,Mike Braun,82,1,38,43,
Warrick,LANE,Governor,,DEM,Jennifer G. McCormick,35,5,17,13,
Warrick,LANE,Governor,,LIB,Donald Rainwater II,5,0,1,4,
Warrick,LANE,Attorney General,,REP,Todd Rokita,88,1,41,46,
Warrick,LANE,Attorney General,,DEM,Destiny Wells,33,5,15,13,
Warrick,LANE,U.S. House,8,REP,Mark Messmer,93,1,42,50,
Warrick,LANE,U.S. House,8,DEM,Erik Hurt,26,5,12,9,
Warrick,LANE,U.S. House,8,LIB,S. Richard Fitzlaff,3,0,2,1,
Warrick,LANE,State Senate,50,REP,Vaneta Becker,90,1,45,44,
Warrick,LANE,State Senate,50,IND,John Woodard,19,2,5,12,
Warrick,LANE,State House,75,REP,Stephen Ledbetter,101,3,47,51,
Warrick,LANE,Judge Superior Court No. 1,,REP,Kristina Hamby (Krista) Weiberg,103,3,48,52,
Warrick,LANE,Judge Superior Court No. 2,,REP,Brett Michael Roy,107,4,49,54,
Warrick,LANE,Clerk Of The Circuit Court,,REP,Mike Wilson,102,3,48,51,
Warrick,LANE,County Recorder,,REP,Patricia (Patty) Perry,99,3,47,49,
Warrick,LANE,County Treasurer,,REP,Tabitha Heilman,101,3,46,52,
Warrick,LANE,County Coroner,,REP,Alissa (Salee) Enright,101,3,46,52,
Warrick,LANE,County Surveyor,,REP,Dennis Witzbacher,102,3,47,52,
Warrick,LANE,County Commissioner Dist 1,,REP,Sarah Hollis-Sexton,89,3,41,45,
Warrick,LANE,County Commissioner Dist 1,,DEM,John T. Mattingly,30,3,13,14,
Warrick,LANE,County Commissioner Dist 3,,REP,Stacey Franz,86,3,38,45,
Warrick,LANE,County Commissioner Dist 3,,DEM,Trent Curtis,36,3,17,16,
Warrick,LANE,County Council At-Large,,REP,Ron Bacon,72,1,35,36,
Warrick,LANE,County Council At-Large,,REP,Patricia Pat (McIntyre) Brooks,72,2,33,37,
Warrick,LANE,County Council At-Large,,REP,Brad Overton,71,1,38,32,
Warrick,LANE,County Council At-Large,,DEM,Mason Barclay,36,5,12,19,
Warrick,LANE,Warrick County School Board,,NP,Lynda G. Glover,33,3,17,14,
Warrick,LANE,Warrick County School Board,,NP,Robert (Bobby) Howard,43,0,17,26,
Warrick,LANE,Warrick County School Board,,NP,Brenda K. Metzger,42,2,16,24,
Warrick,LANE,Warrick County School Board,,NP,Tim Mosbey,55,2,26,27,
Warrick,LANE,Warrick County School Board,,NP,James (Jim) Post,24,0,10,14,
Warrick,LANE,Warrick County School Board,,NP,Andrew E. Skinner,35,0,17,18,
Warrick,LANE,IN Supreme Court-Rush,,,Yes,64,3,29,32,
Warrick,LANE,IN Supreme Court-Rush,,,No,23,2,8,13,
Warrick,LANE,IN Supreme Court-Massa,,,Yes,60,3,27,31,
Warrick,LANE,IN Supreme Court-Massa,,,No,24,3,7,14,
Warrick,LANE,IN Supreme Court-Molter,,,Yes,57,2,24,31,
Warrick,LANE,IN Supreme Court-Molter,,,No,28,3,10,15,
Warrick,LANE,Court of Appeals Dist 1-Foley,,,Yes,58,2,27,29,
Warrick,LANE,Court of Appeals Dist 1-Foley,,,No,27,3,8,16,
Warrick,LANE,Court of Appeals Dist 4-Pyle III,,,Yes,59,2,28,29,
Warrick,LANE,Court of Appeals Dist 4-Pyle III,,,No,28,3,8,17,
Warrick,OHIO 01,Registered Voters,,,,1288,,,,
Warrick,OHIO 01,Ballots Cast,,,,895,57,538,300,
Warrick,OHIO 01,Public Question-Const Amendment,,,Yes,449,16,259,174,
Warrick,OHIO 01,Public Question-Const Amendment,,,No,323,21,202,100,
Warrick,OHIO 01,President,,REP,Donald J. Trump,572,17,350,205,
Warrick,OHIO 01,President,,DEM,Kamala D. Harris,301,39,179,83,
Warrick,OHIO 01,President,,LIB,Chase Oliver,9,0,3,6,
Warrick,OHIO 01,President,,WTP,Robert F. Kennedy Jr.,6,0,3,3,
Warrick,OHIO 01,President,,,Write-In,3,0,1,2,
Warrick,OHIO 01,U.S. Senate,,REP,Jim Banks,550,18,338,194,
Warrick,OHIO 01,U.S. Senate,,DEM,Valerie McCray,257,38,152,67,
Warrick,OHIO 01,U.S. Senate,,LIB,Andrew Horning,18,1,8,9,
Warrick,OHIO 01,Governor,,REP,Mike Braun,549,20,338,191,
Warrick,OHIO 01,Governor,,DEM,Jennifer G. McCormick,273,33,165,75,
Warrick,OHIO 01,Governor,,LIB,Donald Rainwater II,28,2,12,14,
Warrick,OHIO 01,Governor,,,Write-In,1,0,1,0,
Warrick,OHIO 01,Attorney General,,REP,Todd Rokita,574,18,357,199,
Warrick,OHIO 01,Attorney General,,DEM,Destiny Wells,279,35,163,81,
Warrick,OHIO 01,U.S. House,8,REP,Mark Messmer,577,19,344,214,
Warrick,OHIO 01,U.S. House,8,DEM,Erik Hurt,249,34,156,59,
Warrick,OHIO 01,U.S. House,8,LIB,S. Richard Fitzlaff,23,3,8,12,
Warrick,OHIO 01,State Senate,50,REP,Vaneta Becker,642,24,397,221,
Warrick,OHIO 01,State Senate,50,IND,John Woodard,105,7,59,39,
Warrick,OHIO 01,State House,75,REP,Stephen Ledbetter,657,24,396,237,
Warrick,OHIO 01,Judge Superior Court No. 1,,REP,Kristina Hamby (Krista) Weiberg,661,23,400,238,
Warrick,OHIO 01,Judge Superior Court No. 2,,REP,Brett Michael Roy,656,22,402,232,
Warrick,OHIO 01,Clerk Of The Circuit Court,,REP,Mike Wilson,660,21,402,237,
Warrick,OHIO 01,County Recorder,,REP,Patricia (Patty) Perry,659,21,403,235,
Warrick,OHIO 01,County Treasurer,,REP,Tabitha Heilman,649,21,400,228,
Warrick,OHIO 01,County Coroner,,REP,Alissa (Salee) Enright,661,22,407,232,
Warrick,OHIO 01,County Surveyor,,REP,Dennis Witzbacher,648,21,395,232,
Warrick,OHIO 01,County Commissioner Dist 1,,REP,Sarah Hollis-Sexton,555,19,343,197,
Warrick,OHIO 01,County Commissioner Dist 1,,DEM,John T. Mattingly,276,34,164,78,
Warrick,OHIO 01,County Commissioner Dist 3,,REP,Stacey Franz,550,17,337,196,
Warrick,OHIO 01,County Commissioner Dist 3,,DEM,Trent Curtis,271,31,164,76,
Warrick,OHIO 01,County Council At-Large,,REP,Ron Bacon,516,15,328,173,
Warrick,OHIO 01,County Council At-Large,,REP,Patricia Pat (McIntyre) Brooks,489,14,307,167,
Warrick,OHIO 01,County Council At-Large,,REP,Brad Overton,489,16,306,167,
Warrick,OHIO 01,County Council At-Large,,DEM,Mason Barclay,271,24,159,88,
Warrick,OHIO 01,Warrick County School Board,,NP,Lynda G. Glover,307,15,181,114,
Warrick,OHIO 01,Warrick County School Board,,NP,Robert (Bobby) Howard,140,3,85,52,
Warrick,OHIO 01,Warrick County School Board,,NP,Brenda K. Metzger,311,17,181,113,
Warrick,OHIO 01,Warrick County School Board,,NP,Tim Mosbey,325,18,189,119,
Warrick,OHIO 01,Warrick County School Board,,NP,James (Jim) Post,290,16,189,85,
Warrick,OHIO 01,Warrick County School Board,,NP,Andrew E. Skinner,413,15,248,150,
Warrick,OHIO 01,IN Supreme Court-Rush,,,Yes,495,15,296,184,
Warrick,OHIO 01,IN Supreme Court-Rush,,,No,161,15,95,51,
