candidate,office,district,party,county,precinct,early_voting,election_day,votes
,Straight Party,,D,Wayne,JACK1,29,26,55
,Straight Party,,L,Wayne,JACK1,1,3,4
Mike Braun,U.S. Senate,,,Wayne,JACK1,127,162,289
Joe Donnelly,U.S. Senate,,,Wayne,JACK1,64,58,122
Lucy M Brenton,U.S. Senate,,,Wayne,JACK1,17,16,33
Nathan Altman,U.S. Senate,,W,Wayne,JACK1,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,JACK1,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,JACK1,0,0,0
Connie Lawson,Secretary of State,,,Wayne,JACK1,148,183,331
Jim Harper,Secretary of State,,,Wayne,JACK1,53,47,100
Mark W. Rutherford,Secretary of State,,,Wayne,JACK1,9,5,14
George William Wolfe,Secretary of State,,W,Wayne,JACK1,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,JACK1,0,0,0
Tera Klutz,Auditor of State,,,Wayne,JACK1,142,173,315
Joselyn Whitticker,Auditor of State,,,Wayne,JACK1,61,47,108
John Schick,Auditor of State,,,Wayne,JACK1,7,13,20
Kelly Mitchell,Treasurer of State,,,Wayne,JACK1,155,184,339
John C. Aguilera,Treasurer of State,,,Wayne,JACK1,55,51,106
Greg Pence,U.S. House,6,,Wayne,JACK1,146,170,316
Jeannine Lee Lake,U.S. House,6,,Wayne,JACK1,60,55,115
Tom Ferkinhogg,U.S. House,6,,Wayne,JACK1,8,11,19
Heather Leigh Meloy,U.S. House,6,W,Wayne,JACK1,0,0,0
John Miller,U.S. House,6,W,Wayne,JACK1,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,JACK1,157,182,339
Jerome (Jake) Hoog,State Senate ,27,,Wayne,JACK1,52,55,107
Bradford J Barrett,State Representative,56,,Wayne,JACK1,147,168,315
Jeffrey S Locke,State Representative,56,,Wayne,JACK1,58,57,115
Jeremy Why,State Representative,56,,Wayne,JACK1,5,10,15
,Ballots Cast,,,Wayne,JACK2,,,562
,Straight Party,,R,Wayne,JACK2,88,115,203
,Straight Party,,D,Wayne,JACK2,30,34,64
,Straight Party,,L,Wayne,JACK2,3,6,9
Mike Braun,U.S. Senate,,,Wayne,JACK2,155,187,342
Joe Donnelly,U.S. Senate,,,Wayne,JACK2,86,86,172
Lucy M Brenton,U.S. Senate,,,Wayne,JACK2,17,19,36
Nathan Altman,U.S. Senate,,W,Wayne,JACK2,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,JACK2,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,JACK2,0,0,0
Connie Lawson,Secretary of State,,,Wayne,JACK2,172,199,371
Jim Harper,Secretary of State,,,Wayne,JACK2,71,74,145
Mark W. Rutherford,Secretary of State,,,Wayne,JACK2,15,19,34
George William Wolfe,Secretary of State,,W,Wayne,JACK2,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,JACK2,0,0,0
Tera Klutz,Auditor of State,,,Wayne,JACK2,164,194,358
Joselyn Whitticker,Auditor of State,,,Wayne,JACK2,79,76,155
John Schick,Auditor of State,,,Wayne,JACK2,16,21,37
Kelly Mitchell,Treasurer of State,,,Wayne,JACK2,184,212,396
John C. Aguilera,Treasurer of State,,,Wayne,JACK2,73,76,149
Greg Pence,U.S. House,6,,Wayne,JACK2,169,192,361
Jeannine Lee Lake,U.S. House,6,,Wayne,JACK2,79,84,163
Tom Ferkinhogg,U.S. House,6,,Wayne,JACK2,14,16,30
Heather Leigh Meloy,U.S. House,6,W,Wayne,JACK2,0,0,0
John Miller,U.S. House,6,W,Wayne,JACK2,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,JACK2,185,208,393
Jerome (Jake) Hoog,State Senate ,27,,Wayne,JACK2,73,82,155
Bradford J Barrett,State Representative,56,,Wayne,JACK2,174,207,381
Jeffrey S Locke,State Representative,56,,Wayne,JACK2,79,71,150
Jeremy Why,State Representative,56,,Wayne,JACK2,6,14,20
,Ballots Cast,,,Wayne,JACK3,,,415
,Straight Party,,R,Wayne,JACK3,102,90,192
,Straight Party,,D,Wayne,JACK3,30,15,45
,Straight Party,,L,Wayne,JACK3,0,6,6
Mike Braun,U.S. Senate,,,Wayne,JACK3,153,118,271
Joe Donnelly,U.S. Senate,,,Wayne,JACK3,63,47,110
Lucy M Brenton,U.S. Senate,,,Wayne,JACK3,11,15,26
Nathan Altman,U.S. Senate,,W,Wayne,JACK3,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,JACK3,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,JACK3,0,0,0
Connie Lawson,Secretary of State,,,Wayne,JACK3,167,124,291
Jim Harper,Secretary of State,,,Wayne,JACK3,57,38,95
Mark W. Rutherford,Secretary of State,,,Wayne,JACK3,5,18,23
George William Wolfe,Secretary of State,,W,Wayne,JACK3,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,JACK3,0,0,0
Tera Klutz,Auditor of State,,,Wayne,JACK3,165,125,290
Joselyn Whitticker,Auditor of State,,,Wayne,JACK3,58,36,94
John Schick,Auditor of State,,,Wayne,JACK3,5,17,22
Kelly Mitchell,Treasurer of State,,,Wayne,JACK3,170,138,308
John C. Aguilera,Treasurer of State,,,Wayne,JACK3,58,37,95
Greg Pence,U.S. House,6,,Wayne,JACK3,165,125,290
Jeannine Lee Lake,U.S. House,6,,Wayne,JACK3,61,43,104
Tom Ferkinhogg,U.S. House,6,,Wayne,JACK3,4,12,16
Heather Leigh Meloy,U.S. House,6,W,Wayne,JACK3,0,0,0
John Miller,U.S. House,6,W,Wayne,JACK3,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,JACK3,171,136,307
Jerome (Jake) Hoog,State Senate ,27,,Wayne,JACK3,59,43,102
Bradford J Barrett,State Representative,56,,Wayne,JACK3,170,132,302
Jeffrey S Locke,State Representative,56,,Wayne,JACK3,57,38,95
Jeremy Why,State Representative,56,,Wayne,JACK3,3,11,14
,Ballots Cast,,,Wayne,JEFF 1,,,422
,Straight Party,,R,Wayne,JEFF 1,59,68,127
,Straight Party,,D,Wayne,JEFF 1,29,16,45
,Straight Party,,L,Wayne,JEFF 1,4,8,12
Mike Braun,U.S. Senate,,,Wayne,JEFF 1,133,113,246
Joe Donnelly,U.S. Senate,,,Wayne,JEFF 1,71,44,115
Lucy M Brenton,U.S. Senate,,,Wayne,JEFF 1,26,28,54
Nathan Altman,U.S. Senate,,W,Wayne,JEFF 1,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,JEFF 1,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,JEFF 1,0,0,0
Connie Lawson,Secretary of State,,,Wayne,JEFF 1,144,122,266
Jim Harper,Secretary of State,,,Wayne,JEFF 1,60,45,105
Mark W. Rutherford,Secretary of State,,,Wayne,JEFF 1,28,17,45
George William Wolfe,Secretary of State,,W,Wayne,JEFF 1,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,JEFF 1,0,0,0
Tera Klutz,Auditor of State,,,Wayne,JEFF 1,140,125,265
Joselyn Whitticker,Auditor of State,,,Wayne,JEFF 1,63,43,106
John Schick,Auditor of State,,,Wayne,JEFF 1,25,14,39
Kelly Mitchell,Treasurer of State,,,Wayne,JEFF 1,162,132,294
John C. Aguilera,Treasurer of State,,,Wayne,JEFF 1,63,45,108
Greg Pence,U.S. House,6,,Wayne,JEFF 1,136,118,254
Jeannine Lee Lake,U.S. House,6,,Wayne,JEFF 1,72,47,119
Tom Ferkinhogg,U.S. House,6,,Wayne,JEFF 1,21,19,40
Heather Leigh Meloy,U.S. House,6,W,Wayne,JEFF 1,0,0,0
John Miller,U.S. House,6,W,Wayne,JEFF 1,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,JEFF 1,156,137,293
Jerome (Jake) Hoog,State Senate ,27,,Wayne,JEFF 1,73,43,116
Thomas E (Tom) Saunders,State Representative,54,,Wayne,JEFF 1,175,162,337
,Ballots Cast,,,Wayne,JEFF2,,,409
,Straight Party,,R,Wayne,JEFF2,69,51,120
,Straight Party,,D,Wayne,JEFF2,38,24,62
,Straight Party,,L,Wayne,JEFF2,0,2,2
Mike Braun,U.S. Senate,,,Wayne,JEFF2,116,99,215
Joe Donnelly,U.S. Senate,,,Wayne,JEFF2,101,59,160
Lucy M Brenton,U.S. Senate,,,Wayne,JEFF2,11,14,25
Nathan Altman,U.S. Senate,,W,Wayne,JEFF2,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,JEFF2,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,JEFF2,0,0,0
Connie Lawson,Secretary of State,,,Wayne,JEFF2,141,109,250
Jim Harper,Secretary of State,,,Wayne,JEFF2,78,50,128
Mark W. Rutherford,Secretary of State,,,Wayne,JEFF2,9,12,21
George William Wolfe,Secretary of State,,W,Wayne,JEFF2,1,0,1
Jeremy Heath,Secretary of State,,W,Wayne,JEFF2,0,0,0
Tera Klutz,Auditor of State,,,Wayne,JEFF2,135,101,236
Joselyn Whitticker,Auditor of State,,,Wayne,JEFF2,83,53,136
John Schick,Auditor of State,,,Wayne,JEFF2,7,17,24
Kelly Mitchell,Treasurer of State,,,Wayne,JEFF2,142,114,256
John C. Aguilera,Treasurer of State,,,Wayne,JEFF2,85,53,138
Greg Pence,U.S. House,6,,Wayne,JEFF2,127,105,232
Jeannine Lee Lake,U.S. House,6,,Wayne,JEFF2,92,54,146
Tom Ferkinhogg,U.S. House,6,,Wayne,JEFF2,10,14,24
Heather Leigh Meloy,U.S. House,6,W,Wayne,JEFF2,0,0,0
John Miller,U.S. House,6,W,Wayne,JEFF2,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,JEFF2,142,117,259
Jerome (Jake) Hoog,State Senate ,27,,Wayne,JEFF2,85,55,140
Thomas E (Tom) Saunders,State Representative,54,,Wayne,JEFF2,180,137,317
,Ballots Cast,,,Wayne,JEFF3,,,440
,Straight Party,,R,Wayne,JEFF3,80,73,153
,Straight Party,,D,Wayne,JEFF3,28,21,49
,Straight Party,,L,Wayne,JEFF3,3,5,8
Mike Braun,U.S. Senate,,,Wayne,JEFF3,138,127,265
Joe Donnelly,U.S. Senate,,,Wayne,JEFF3,66,57,123
Lucy M Brenton,U.S. Senate,,,Wayne,JEFF3,21,22,43
Nathan Altman,U.S. Senate,,W,Wayne,JEFF3,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,JEFF3,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,JEFF3,0,0,0
Connie Lawson,Secretary of State,,,Wayne,JEFF3,152,135,287
Jim Harper,Secretary of State,,,Wayne,JEFF3,57,47,104
Mark W. Rutherford,Secretary of State,,,Wayne,JEFF3,15,23,38
George William Wolfe,Secretary of State,,W,Wayne,JEFF3,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,JEFF3,0,0,0
Tera Klutz,Auditor of State,,,Wayne,JEFF3,150,141,291
Joselyn Whitticker,Auditor of State,,,Wayne,JEFF3,59,46,105
John Schick,Auditor of State,,,Wayne,JEFF3,15,19,34
Kelly Mitchell,Treasurer of State,,,Wayne,JEFF3,161,160,321
John C. Aguilera,Treasurer of State,,,Wayne,JEFF3,58,46,104
Greg Pence,U.S. House,6,,Wayne,JEFF3,138,134,272
Jeannine Lee Lake,U.S. House,6,,Wayne,JEFF3,64,53,117
Tom Ferkinhogg,U.S. House,6,,Wayne,JEFF3,18,19,37
Heather Leigh Meloy,U.S. House,6,W,Wayne,JEFF3,0,0,0
John Miller,U.S. House,6,W,Wayne,JEFF3,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,JEFF3,159,157,316
Jerome (Jake) Hoog,State Senate ,27,,Wayne,JEFF3,57,50,107
Thomas E (Tom) Saunders,State Representative,54,,Wayne,JEFF3,175,175,350
,Ballots Cast,,,Wayne,NEWGAR,,,625
,Straight Party,,R,Wayne,NEWGAR,95,156,251
,Straight Party,,D,Wayne,NEWGAR,29,39,68
,Straight Party,,L,Wayne,NEWGAR,0,5,5
Mike Braun,U.S. Senate,,,Wayne,NEWGAR,162,264,426
Joe Donnelly,U.S. Senate,,,Wayne,NEWGAR,66,83,149
Lucy M Brenton,U.S. Senate,,,Wayne,NEWGAR,5,28,33
Nathan Altman,U.S. Senate,,W,Wayne,NEWGAR,0,1,1
Christopher Fischer,U.S. Senate,,W,Wayne,NEWGAR,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,NEWGAR,0,0,0
Connie Lawson,Secretary of State,,,Wayne,NEWGAR,174,293,467
Jim Harper,Secretary of State,,,Wayne,NEWGAR,55,68,123
Mark W. Rutherford,Secretary of State,,,Wayne,NEWGAR,6,16,22
George William Wolfe,Secretary of State,,W,Wayne,NEWGAR,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,NEWGAR,0,0,0
Tera Klutz,Auditor of State,,,Wayne,NEWGAR,172,282,454
Joselyn Whitticker,Auditor of State,,,Wayne,NEWGAR,53,72,125
John Schick,Auditor of State,,,Wayne,NEWGAR,7,21,28
Kelly Mitchell,Treasurer of State,,,Wayne,NEWGAR,183,294,477
John C. Aguilera,Treasurer of State,,,Wayne,NEWGAR,51,80,131
Greg Pence,U.S. House,6,,Wayne,NEWGAR,163,264,427
Jeannine Lee Lake,U.S. House,6,,Wayne,NEWGAR,55,78,133
Tom Ferkinhogg,U.S. House,6,,Wayne,NEWGAR,17,39,56
Heather Leigh Meloy,U.S. House,6,W,Wayne,NEWGAR,0,0,0
John Miller,U.S. House,6,W,Wayne,NEWGAR,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,NEWGAR,178,304,482
Jerome (Jake) Hoog,State Senate ,27,,Wayne,NEWGAR,53,76,129
Bradford J Barrett,State Representative,56,,Wayne,NEWGAR,184,314,498
Jeffrey S Locke,State Representative,56,,Wayne,NEWGAR,52,61,113
Jeremy Why,State Representative,56,,Wayne,NEWGAR,0,7,7
,Ballots Cast,,,Wayne,PERRY,,,239
,Straight Party,,R,Wayne,PERRY,44,50,94
,Straight Party,,D,Wayne,PERRY,9,7,16
,Straight Party,,L,Wayne,PERRY,0,5,5
Mike Braun,U.S. Senate,,,Wayne,PERRY,75,75,150
Joe Donnelly,U.S. Senate,,,Wayne,PERRY,34,31,65
Lucy M Brenton,U.S. Senate,,,Wayne,PERRY,11,12,23
Nathan Altman,U.S. Senate,,W,Wayne,PERRY,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,PERRY,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,PERRY,0,0,0
Connie Lawson,Secretary of State,,,Wayne,PERRY,87,81,168
Jim Harper,Secretary of State,,,Wayne,PERRY,25,21,46
Mark W. Rutherford,Secretary of State,,,Wayne,PERRY,5,11,16
George William Wolfe,Secretary of State,,W,Wayne,PERRY,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,PERRY,0,0,0
Tera Klutz,Auditor of State,,,Wayne,PERRY,85,76,161
Joselyn Whitticker,Auditor of State,,,Wayne,PERRY,27,27,54
John Schick,Auditor of State,,,Wayne,PERRY,5,9,14
Kelly Mitchell,Treasurer of State,,,Wayne,PERRY,94,89,183
John C. Aguilera,Treasurer of State,,,Wayne,PERRY,24,25,49
Greg Pence,U.S. House,6,,Wayne,PERRY,75,77,152
Jeannine Lee Lake,U.S. House,6,,Wayne,PERRY,28,27,55
Tom Ferkinhogg,U.S. House,6,,Wayne,PERRY,15,11,26
Heather Leigh Meloy,U.S. House,6,W,Wayne,PERRY,0,0,0
John Miller,U.S. House,6,W,Wayne,PERRY,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,PERRY,89,88,177
Jerome (Jake) Hoog,State Senate ,27,,Wayne,PERRY,29,25,54
Bradford J Barrett,State Representative,56,,Wayne,PERRY,93,89,182
Jeffrey S Locke,State Representative,56,,Wayne,PERRY,21,20,41
Jeremy Why,State Representative,56,,Wayne,PERRY,5,5,10
,Ballots Cast,,,Wayne,WASH,,,496
,Straight Party,,R,Wayne,WASH,80,109,189
,Straight Party,,D,Wayne,WASH,35,40,75
,Straight Party,,L,Wayne,WASH,1,1,2
Mike Braun,U.S. Senate,,,Wayne,WASH,130,172,302
Joe Donnelly,U.S. Senate,,,Wayne,WASH,75,80,155
Lucy M Brenton,U.S. Senate,,,Wayne,WASH,13,13,26
Nathan Altman,U.S. Senate,,W,Wayne,WASH,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WASH,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WASH,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WASH,146,187,333
Jim Harper,Secretary of State,,,Wayne,WASH,62,64,126
Mark W. Rutherford,Secretary of State,,,Wayne,WASH,12,12,24
George William Wolfe,Secretary of State,,W,Wayne,WASH,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WASH,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WASH,141,183,324
Joselyn Whitticker,Auditor of State,,,Wayne,WASH,71,72,143
John Schick,Auditor of State,,,Wayne,WASH,10,9,19
Kelly Mitchell,Treasurer of State,,,Wayne,WASH,160,190,350
John C. Aguilera,Treasurer of State,,,Wayne,WASH,65,70,135
Greg Pence,U.S. House,6,,Wayne,WASH,139,182,321
Jeannine Lee Lake,U.S. House,6,,Wayne,WASH,72,71,143
Tom Ferkinhogg,U.S. House,6,,Wayne,WASH,9,9,18
Heather Leigh Meloy,U.S. House,6,W,Wayne,WASH,0,0,0
John Miller,U.S. House,6,W,Wayne,WASH,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WASH,146,196,342
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WASH,76,71,147
Bradford J Barrett,State Representative,56,,Wayne,WASH,155,197,352
Jeffrey S Locke,State Representative,56,,Wayne,WASH,66,65,131
Jeremy Why,State Representative,56,,Wayne,WASH,3,6,9
,Ballots Cast,,,Wayne,WEBS,,,392
,Straight Party,,R,Wayne,WEBS,82,78,160
,Straight Party,,D,Wayne,WEBS,21,16,37
,Straight Party,,L,Wayne,WEBS,1,1,2
Mike Braun,U.S. Senate,,,Wayne,WEBS,145,118,263
Joe Donnelly,U.S. Senate,,,Wayne,WEBS,45,45,90
Lucy M Brenton,U.S. Senate,,,Wayne,WEBS,23,10,33
Nathan Altman,U.S. Senate,,W,Wayne,WEBS,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WEBS,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WEBS,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WEBS,152,137,289
Jim Harper,Secretary of State,,,Wayne,WEBS,40,30,70
Mark W. Rutherford,Secretary of State,,,Wayne,WEBS,16,8,24
George William Wolfe,Secretary of State,,W,Wayne,WEBS,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WEBS,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WEBS,150,135,285
Joselyn Whitticker,Auditor of State,,,Wayne,WEBS,42,33,75
John Schick,Auditor of State,,,Wayne,WEBS,18,5,23
Kelly Mitchell,Treasurer of State,,,Wayne,WEBS,164,138,302
John C. Aguilera,Treasurer of State,,,Wayne,WEBS,44,36,80
Greg Pence,U.S. House,6,,Wayne,WEBS,146,126,272
Jeannine Lee Lake,U.S. House,6,,Wayne,WEBS,36,35,71
Tom Ferkinhogg,U.S. House,6,,Wayne,WEBS,29,14,43
Heather Leigh Meloy,U.S. House,6,W,Wayne,WEBS,0,0,0
John Miller,U.S. House,6,W,Wayne,WEBS,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WEBS,169,136,305
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WEBS,42,37,79
Bradford J Barrett,State Representative,56,,Wayne,WEBS,156,137,293
Jeffrey S Locke,State Representative,56,,Wayne,WEBS,45,32,77
Jeremy Why,State Representative,56,,Wayne,WEBS,12,5,17
,Ballots Cast,,,Wayne,WAYNE01,,,330
,Straight Party,,R,Wayne,WAYNE01,73,67,140
,Straight Party,,D,Wayne,WAYNE01,29,21,50
,Straight Party,,L,Wayne,WAYNE01,1,4,5
Mike Braun,U.S. Senate,,,Wayne,WAYNE01,112,93,205
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE01,62,39,101
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE01,5,15,20
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE01,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE01,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE01,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE01,120,101,221
Jim Harper,Secretary of State,,,Wayne,WAYNE01,55,36,91
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE01,6,7,13
George William Wolfe,Secretary of State,,W,Wayne,WAYNE01,0,1,1
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE01,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE01,115,102,217
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE01,58,35,93
John Schick,Auditor of State,,,Wayne,WAYNE01,7,7,14
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE01,123,108,231
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE01,55,38,93
Greg Pence,U.S. House,6,,Wayne,WAYNE01,111,95,206
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE01,57,35,92
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE01,11,16,27
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE01,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE01,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE01,123,112,235
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE01,56,35,91
Bradford J Barrett,State Representative,56,,Wayne,WAYNE01,125,111,236
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE01,52,32,84
Jeremy Why,State Representative,56,,Wayne,WAYNE01,3,4,7
,Ballots Cast,,,Wayne,WAYNE02,,,395
,Straight Party,,R,Wayne,WAYNE02,86,88,174
,Straight Party,,D,Wayne,WAYNE02,39,32,71
,Straight Party,,L,Wayne,WAYNE02,3,2,5
Mike Braun,U.S. Senate,,,Wayne,WAYNE02,112,122,234
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE02,74,63,137
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE02,8,7,15
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE02,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE02,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE02,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE02,122,133,255
Jim Harper,Secretary of State,,,Wayne,WAYNE02,68,54,122
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE02,7,4,11
George William Wolfe,Secretary of State,,W,Wayne,WAYNE02,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE02,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE02,122,137,259
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE02,69,50,119
John Schick,Auditor of State,,,Wayne,WAYNE02,5,6,11
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE02,129,140,269
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE02,66,51,117
Greg Pence,U.S. House,6,,Wayne,WAYNE02,116,125,241
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE02,71,57,128
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE02,10,11,21
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE02,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE02,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE02,129,143,272
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE02,68,50,118
Bradford J Barrett,State Representative,56,,Wayne,WAYNE02,137,137,274
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE02,54,53,107
Jeremy Why,State Representative,56,,Wayne,WAYNE02,5,4,9
,Ballots Cast,,,Wayne,WAYNE03,,,313
,Straight Party,,R,Wayne,WAYNE03,86,74,160
,Straight Party,,D,Wayne,WAYNE03,21,12,33
,Straight Party,,L,Wayne,WAYNE03,2,1,3
Mike Braun,U.S. Senate,,,Wayne,WAYNE03,124,98,222
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE03,53,25,78
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE03,4,4,8
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE03,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE03,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE03,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE03,131,105,236
Jim Harper,Secretary of State,,,Wayne,WAYNE03,44,20,64
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE03,6,4,10
George William Wolfe,Secretary of State,,W,Wayne,WAYNE03,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE03,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE03,131,103,234
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE03,44,20,64
John Schick,Auditor of State,,,Wayne,WAYNE03,4,5,9
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE03,131,106,237
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE03,48,22,70
Greg Pence,U.S. House,6,,Wayne,WAYNE03,128,103,231
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE03,48,22,70
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE03,5,4,9
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE03,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE03,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE03,133,110,243
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE03,43,17,60
Bradford J Barrett,State Representative,56,,Wayne,WAYNE03,143,110,253
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE03,36,18,54
Jeremy Why,State Representative,56,,Wayne,WAYNE03,2,1,3
,Ballots Cast,,,Wayne,WAYNE04,,,325
,Straight Party,,R,Wayne,WAYNE04,72,47,119
,Straight Party,,D,Wayne,WAYNE04,43,33,76
,Straight Party,,L,Wayne,WAYNE04,3,3,6
Mike Braun,U.S. Senate,,,Wayne,WAYNE04,111,64,175
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE04,73,56,129
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE04,9,9,18
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE04,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE04,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE04,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE04,115,69,184
Jim Harper,Secretary of State,,,Wayne,WAYNE04,67,49,116
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE04,11,9,20
George William Wolfe,Secretary of State,,W,Wayne,WAYNE04,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE04,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE04,115,67,182
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE04,70,54,124
John Schick,Auditor of State,,,Wayne,WAYNE04,7,6,13
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE04,116,75,191
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE04,73,49,122
Greg Pence,U.S. House,6,,Wayne,WAYNE04,110,64,174
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE04,73,58,131
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE04,10,7,17
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE04,0,0,0
