candidate,office,district,party,county,precinct,registered_voters,machine_votes,absentee_votes,provisional_votes
Write-In,U.S. Senate,,,Warrick,Ohio 17,620,0,0,0
Connie Lawson,Secretary of State,,R,Warrick,Ohio 17,620,157,36,0
Jim Harper,Secretary of State,,D,Warrick,Ohio 17,620,118,42,0
Mark W. Rutherford,Secretary of State,,L,Warrick,Ohio 17,620,14,3,0
Write-In,Secretary of State,,,Warrick,Ohio 17,620,0,0,0
Tera Klutz,Auditor of State,,R,Warrick,Ohio 17,620,161,38,0
Joselyn Whitticker,Auditor of State,,D,Warrick,Ohio 17,620,111,38,0
John Schick,Auditor of State,,L,Warrick,Ohio 17,620,15,5,0
Kelly Mitchell,Treasurer of State,,R,Warrick,Ohio 17,620,165,37,0
John C. Aguilera,Treasurer of State,,D,Warrick,Ohio 17,620,123,44,0
Larry D. Bucshon,U.S. House,8,R,Warrick,Ohio 17,620,174,37,0
William Tanoos,U.S. House,8,D,Warrick,Ohio 17,620,119,45,0
Write-In,U.S. House,8,,Warrick,Ohio 17,620,0,0,0
Ron Bacon,State House,75,R,Warrick,Ohio 17,620,168,38,0
John Hurley,State House,75,D,Warrick,Ohio 17,620,125,42,0
J. Zach Winsett,Judge of Superior Court No. 1,,R,Warrick,Ohio 17,620,222,55,0
No Candidate Filed,Judge of Superior Court No. 1,,D,Warrick,Ohio 17,620,0,0,0
Amy Steinkamp Miskimen,Judge of Superior Court No. 2,,R,Warrick,Ohio 17,620,221,55,0
No Candidate Filed,Judge of Superior Court No. 2,,D,Warrick,Ohio 17,620,0,0,0
Michael J. Perry,Prosecuting Attorney 2nd Circuit,,R,Warrick,Ohio 17,620,221,55,0
No Candidate Filed,Prosecuting Attorney 2nd Circuit,,D,Warrick,Ohio 17,620,0,0,0
"Deborah ""Debbie"" Stevens",County Auditor,,R,Warrick,Ohio 17,620,171,37,0
Chelsea Ballis,County Auditor,,D,Warrick,Ohio 17,620,116,42,0
Michael Wilder,County Sheriff,,R,Warrick,Ohio 17,620,222,56,0
No Candidate Filed,County Sheriff,,D,Warrick,Ohio 17,620,0,0,0
Sarah E. Redman,County Assessor,,R,Warrick,Ohio 17,620,219,54,0
No Candidate Filed,County Assessor,,D,Warrick,Ohio 17,620,0,0,0
Terry Phillippe,Co Commissioner,2,R,Warrick,Ohio 17,620,164,35,0
Mark Warren,Co Commissioner,2,D,Warrick,Ohio 17,620,121,43,0
Cindy Ledbetter,County Council,1,R,Warrick,Ohio 17,620,221,56,0
No Candidate Filed,County Council,1,D,Warrick,Ohio 17,620,0,0,0
Chad Bennett,Ohio Twp Trustee,,R,Warrick,Ohio 17,620,184,40,0
Grant L. Gerling,Ohio Twp Trustee,,D,Warrick,Ohio 17,620,106,40,0
Nancy Grimes Bennett,Ohio Twp Advisory Board,,R,Warrick,Ohio 17,620,140,32,0
Debbie Reid,Ohio Twp Advisory Board,,R,Warrick,Ohio 17,620,140,28,0
Michael Wilson,Ohio Twp Advisory Board,,R,Warrick,Ohio 17,620,142,27,0
John C. Barner,Ohio Twp Advisory Board,,D,Warrick,Ohio 17,620,90,37,0
Mary Cole Platz,Ohio Twp Advisory Board,,D,Warrick,Ohio 17,620,105,40,0
"Kristopher ""Kris"" Stallins",Ohio Twp Advisory Board,,D,Warrick,Ohio 17,620,95,34,0
Jordan M. Aigner,School Board Member,,NP,Warrick,Ohio 17,620,68,15,0
Jeffrey B. Baker,School Board Member,,NP,Warrick,Ohio 17,620,71,26,0
Stephanie Gerhardt,School Board Member,,NP,Warrick,Ohio 17,620,89,32,0
Tabitha Heilman,School Board Member,,NP,Warrick,Ohio 17,620,64,26,0
Elissa Jones,School Board Member,,NP,Warrick,Ohio 17,620,52,12,0
Rick Dean Madden,School Board Member,,NP,Warrick,Ohio 17,620,39,13,0
Candace S. Nance,School Board Member,,NP,Warrick,Ohio 17,620,95,33,0
"""Nancy"" Anne J. Parker",School Board Member,,NP,Warrick,Ohio 17,620,57,13,0
Thomas L. Welch,School Board Member,,NP,Warrick,Ohio 17,620,71,15,0
Jane Wilhelmus,School Board Member,,NP,Warrick,Ohio 17,620,113,35,0
Yes,Justice IN Supreme Ct Slaughter,,,Warrick,Ohio 17,620,160,47,0
No,Justice IN Supreme Ct Slaughter,,,Warrick,Ohio 17,620,59,14,0
Yes,Judge IN Ct Appeals D2 Altice,,,Warrick,Ohio 17,620,162,45,0
No,Judge IN Ct Appeals D2 Altice,,,Warrick,Ohio 17,620,51,15,0
Yes,Public Question,,,Warrick,Ohio 3,573,153,37,0
No,Public Question,,,Warrick,Ohio 3,573,65,12,0
Mike Braun,U.S. Senate,,R,Warrick,Ohio 3,573,146,32,0
Joe Donnelly,U.S. Senate,,D,Warrick,Ohio 3,573,106,35,0
Lucy M. Brenton,U.S. Senate,,L,Warrick,Ohio 3,573,11,0,0
Write-In,U.S. Senate,,,Warrick,Ohio 3,573,0,0,0
Connie Lawson,Secretary of State,,R,Warrick,Ohio 3,573,164,31,0
Jim Harper,Secretary of State,,D,Warrick,Ohio 3,573,94,34,0
Mark W. Rutherford,Secretary of State,,L,Warrick,Ohio 3,573,4,2,0
Write-In,Secretary of State,,,Warrick,Ohio 3,573,0,0,0
Tera Klutz,Auditor of State,,R,Warrick,Ohio 3,573,159,32,0
Joselyn Whitticker,Auditor of State,,D,Warrick,Ohio 3,573,95,33,0
John Schick,Auditor of State,,L,Warrick,Ohio 3,573,8,2,0
Kelly Mitchell,Treasurer of State,,R,Warrick,Ohio 3,573,169,33,0
John C. Aguilera,Treasurer of State,,D,Warrick,Ohio 3,573,95,34,0
Larry D. Bucshon,U.S. House,8,R,Warrick,Ohio 3,573,162,33,0
William Tanoos,U.S. House,8,D,Warrick,Ohio 3,573,101,34,0
Write-In,U.S. House,8,,Warrick,Ohio 3,573,0,0,0
Holli Sullivan,State House,78,R,Warrick,Ohio 3,573,196,39,0
No Candidate Filed,State House,78,D,Warrick,Ohio 3,573,0,0,0
J. Zach Winsett,Judge of Superior Court No. 1,,R,Warrick,Ohio 3,573,194,37,0
No Candidate Filed,Judge of Superior Court No. 1,,D,Warrick,Ohio 3,573,0,0,0
Amy Steinkamp Miskimen,Judge of Superior Court No. 2,,R,Warrick,Ohio 3,573,200,39,0
No Candidate Filed,Judge of Superior Court No. 2,,D,Warrick,Ohio 3,573,0,0,0
Michael J. Perry,Prosecuting Attorney 2nd Circuit,,R,Warrick,Ohio 3,573,191,40,0
No Candidate Filed,Prosecuting Attorney 2nd Circuit,,D,Warrick,Ohio 3,573,0,0,0
"Deborah ""Debbie"" Stevens",County Auditor,,R,Warrick,Ohio 3,573,160,27,0
Chelsea Ballis,County Auditor,,D,Warrick,Ohio 3,573,98,39,0
Michael Wilder,County Sheriff,,R,Warrick,Ohio 3,573,196,39,0
No Candidate Filed,County Sheriff,,D,Warrick,Ohio 3,573,0,0,0
Sarah E. Redman,County Assessor,,R,Warrick,Ohio 3,573,191,39,0
No Candidate Filed,County Assessor,,D,Warrick,Ohio 3,573,0,0,0
Terry Phillippe,Co Commissioner,2,R,Warrick,Ohio 3,573,158,32,0
Mark Warren,Co Commissioner,2,D,Warrick,Ohio 3,573,100,34,0
Cindy Ledbetter,County Council,1,R,Warrick,Ohio 3,573,193,38,0
No Candidate Filed,County Council,1,D,Warrick,Ohio 3,573,0,0,0
Chad Bennett,Ohio Twp Trustee,,R,Warrick,Ohio 3,573,169,30,0
Grant L. Gerling,Ohio Twp Trustee,,D,Warrick,Ohio 3,573,94,34,0
Nancy Grimes Bennett,Ohio Twp Advisory Board,,R,Warrick,Ohio 3,573,143,28,0
Debbie Reid,Ohio Twp Advisory Board,,R,Warrick,Ohio 3,573,131,25,0
Michael Wilson,Ohio Twp Advisory Board,,R,Warrick,Ohio 3,573,138,26,0
John C. Barner,Ohio Twp Advisory Board,,D,Warrick,Ohio 3,573,66,30,0
Mary Cole Platz,Ohio Twp Advisory Board,,D,Warrick,Ohio 3,573,75,30,0
"Kristopher ""Kris"" Stallins",Ohio Twp Advisory Board,,D,Warrick,Ohio 3,573,81,32,0
Carol Hicks Schaefer,Town Council At-Lg Newburgh,,R,Warrick,Ohio 3,573,169,30,0
Kit Holland,Town Council At-Lg Newburgh,,D,Warrick,Ohio 3,573,88,35,0
Leanna K. Hughes,Town Council Dist 2 Newburgh,,R,Warrick,Ohio 3,573,105,25,0
Allyson Claybourn,Town Council Dist 2 Newburgh,,D,Warrick,Ohio 3,573,158,40,0
Jordan M. Aigner,School Board Member,,NP,Warrick,Ohio 3,573,71,14,0
Jeffrey B. Baker,School Board Member,,NP,Warrick,Ohio 3,573,77,17,0
Stephanie Gerhardt,School Board Member,,NP,Warrick,Ohio 3,573,102,15,0
Tabitha Heilman,School Board Member,,NP,Warrick,Ohio 3,573,61,12,0
Elissa Jones,School Board Member,,NP,Warrick,Ohio 3,573,55,11,0
Rick Dean Madden,School Board Member,,NP,Warrick,Ohio 3,573,42,17,0
Candace S. Nance,School Board Member,,NP,Warrick,Ohio 3,573,74,25,0
"""Nancy"" Anne J. Parker",School Board Member,,NP,Warrick,Ohio 3,573,70,12,0
Thomas L. Welch,School Board Member,,NP,Warrick,Ohio 3,573,61,14,0
Jane Wilhelmus,School Board Member,,NP,Warrick,Ohio 3,573,99,16,0
Yes,Justice IN Supreme Ct Slaughter,,,Warrick,Ohio 3,573,158,36,0
No,Justice IN Supreme Ct Slaughter,,,Warrick,Ohio 3,573,53,11,0
Yes,Judge IN Ct Appeals D2 Altice,,,Warrick,Ohio 3,573,164,37,0
No,Judge IN Ct Appeals D2 Altice,,,Warrick,Ohio 3,573,51,11,0
Yes,Public Question,,,Warrick,Lane,171,42,6,0
No,Public Question,,,Warrick,Lane,171,24,5,0
Mike Braun,U.S. Senate,,R,Warrick,Lane,171,52,11,0
Joe Donnelly,U.S. Senate,,D,Warrick,Lane,171,33,3,0
Lucy M. Brenton,U.S. Senate,,L,Warrick,Lane,171,2,0,0
Write-In,U.S. Senate,,,Warrick,Lane,171,0,0,0
Connie Lawson,Secretary of State,,R,Warrick,Lane,171,59,11,0
Jim Harper,Secretary of State,,D,Warrick,Lane,171,28,3,0
Mark W. Rutherford,Secretary of State,,L,Warrick,Lane,171,0,0,0
Write-In,Secretary of State,,,Warrick,Lane,171,1,0,0
Tera Klutz,Auditor of State,,R,Warrick,Lane,171,59,11,0
Joselyn Whitticker,Auditor of State,,D,Warrick,Lane,171,28,3,0
John Schick,Auditor of State,,L,Warrick,Lane,171,0,0,0
Kelly Mitchell,Treasurer of State,,R,Warrick,Lane,171,58,12,0
John C. Aguilera,Treasurer of State,,D,Warrick,Lane,171,28,2,0
Larry D. Bucshon,U.S. House,8,R,Warrick,Lane,171,61,11,0
William Tanoos,U.S. House,8,D,Warrick,Lane,171,28,3,0
Write-In,U.S. House,8,,Warrick,Lane,171,0,0,0
Mark Messmer,State Senate,48,R,Warrick,Lane,171,63,12,0
No Candidate Filed,State Senate,48,D,Warrick,Lane,171,0,0,0
Ron Bacon,State House,75,R,Warrick,Lane,171,53,12,0
John Hurley,State House,75,D,Warrick,Lane,171,35,2,0
J. Zach Winsett,Judge of Superior Court No. 1,,R,Warrick,Lane,171,66,13,0
No Candidate Filed,Judge of Superior Court No. 1,,D,Warrick,Lane,171,0,0,0
Amy Steinkamp Miskimen,Judge of Superior Court No. 2,,R,Warrick,Lane,171,63,13,0
No Candidate Filed,Judge of Superior Court No. 2,,D,Warrick,Lane,171,0,0,0
Michael J. Perry,Prosecuting Attorney 2nd Circuit,,R,Warrick,Lane,171,63,12,0
No Candidate Filed,Prosecuting Attorney 2nd Circuit,,D,Warrick,Lane,171,0,0,0
"Deborah ""Debbie"" Stevens",County Auditor,,R,Warrick,Lane,171,59,12,0
Chelsea Ballis,County Auditor,,D,Warrick,Lane,171,27,2,0
Michael Wilder,County Sheriff,,R,Warrick,Lane,171,65,13,0
No Candidate Filed,County Sheriff,,D,Warrick,Lane,171,0,0,0
Sarah E. Redman,County Assessor,,R,Warrick,Lane,171,62,12,0
No Candidate Filed,County Assessor,,D,Warrick,Lane,171,0,0,0
Terry Phillippe,Co Commissioner,2,R,Warrick,Lane,171,57,11,0
Mark Warren,Co Commissioner,2,D,Warrick,Lane,171,31,3,0
David P. Hachmeister,County Council,4,R,Warrick,Lane,171,57,12,0
Nancy Ann Woolsey,County Council,4,D,Warrick,Lane,171,29,2,0
Sarah B. Horn,Lane Twp Trustee,,R,Warrick,Lane,171,69,12,0
No Candidate Filed,Lane Twp Trustee,,D,Warrick,Lane,171,0,0,0
Andrew D. Horn,Lane Twp Advisory Board,,R,Warrick,Lane,171,52,10,0
Hester E. Lubbehusen,Lane Twp Advisory Board,,D,Warrick,Lane,171,52,7,0
Linda G. Orth,Lane Twp Advisory Board,,D,Warrick,Lane,171,40,5,0
Jordan M. Aigner,School Board Member,,NP,Warrick,Lane,171,28,5,0
Jeffrey B. Baker,School Board Member,,NP,Warrick,Lane,171,39,5,0
Stephanie Gerhardt,School Board Member,,NP,Warrick,Lane,171,16,5,0
Tabitha Heilman,School Board Member,,NP,Warrick,Lane,171,17,4,0
Elissa Jones,School Board Member,,NP,Warrick,Lane,171,18,6,0
Rick Dean Madden,School Board Member,,NP,Warrick,Lane,171,27,4,0
Candace S. Nance,School Board Member,,NP,Warrick,Lane,171,17,3,0
"""Nancy"" Anne J. Parker",School Board Member,,NP,Warrick,Lane,171,16,0,0
Thomas L. Welch,School Board Member,,NP,Warrick,Lane,171,38,6,0
Jane Wilhelmus,School Board Member,,NP,Warrick,Lane,171,41,3,0
Yes,Justice IN Supreme Ct Slaughter,,,Warrick,Lane,171,53,10,0
No,Justice IN Supreme Ct Slaughter,,,Warrick,Lane,171,13,0,0
Yes,Judge IN Ct Appeals D2 Altice,,,Warrick,Lane,171,50,10,0
No,Judge IN Ct Appeals D2 Altice,,,Warrick,Lane,171,15,0,0
Yes,Public Question,,,Warrick,Ohio 2,982,276,100,0
No,Public Question,,,Warrick,Ohio 2,982,76,43,0
Mike Braun,U.S. Senate,,R,Warrick,Ohio 2,982,262,83,0
Joe Donnelly,U.S. Senate,,D,Warrick,Ohio 2,982,119,86,0
Lucy M. Brenton,U.S. Senate,,L,Warrick,Ohio 2,982,11,3,0
Write-In,U.S. Senate,,,Warrick,Ohio 2,982,0,0,0
Connie Lawson,Secretary of State,,R,Warrick,Ohio 2,982,262,89,0
Jim Harper,Secretary of State,,D,Warrick,Ohio 2,982,104,81,0
Mark W. Rutherford,Secretary of State,,L,Warrick,Ohio 2,982,17,1,0
Write-In,Secretary of State,,,Warrick,Ohio 2,982,0,0,0
Tera Klutz,Auditor of State,,R,Warrick,Ohio 2,982,263,88,0
Joselyn Whitticker,Auditor of State,,D,Warrick,Ohio 2,982,104,80,0
John Schick,Auditor of State,,L,Warrick,Ohio 2,982,18,2,0
Kelly Mitchell,Treasurer of State,,R,Warrick,Ohio 2,982,279,92,0
John C. Aguilera,Treasurer of State,,D,Warrick,Ohio 2,982,105,80,0
Larry D. Bucshon,U.S. House,8,R,Warrick,Ohio 2,982,275,90,0
William Tanoos,U.S. House,8,D,Warrick,Ohio 2,982,115,80,0
Write-In,U.S. House,8,,Warrick,Ohio 2,982,0,0,0
Ron Bacon,State House,75,R,Warrick,Ohio 2,982,282,93,0
John Hurley,State House,75,D,Warrick,Ohio 2,982,106,77,0
J. Zach Winsett,Judge of Superior Court No. 1,,R,Warrick,Ohio 2,982,330,114,0
No Candidate Filed,Judge of Superior Court No. 1,,D,Warrick,Ohio 2,982,0,0,0
Amy Steinkamp Miskimen,Judge of Superior Court No. 2,,R,Warrick,Ohio 2,982,332,111,0
No Candidate Filed,Judge of Superior Court No. 2,,D,Warrick,Ohio 2,982,0,0,0
Michael J. Perry,Prosecuting Attorney 2nd Circuit,,R,Warrick,Ohio 2,982,332,107,0
No Candidate Filed,Prosecuting Attorney 2nd Circuit,,D,Warrick,Ohio 2,982,0,0,0
"Deborah ""Debbie"" Stevens",County Auditor,,R,Warrick,Ohio 2,982,278,85,0
Chelsea Ballis,County Auditor,,D,Warrick,Ohio 2,982,102,84,0
Michael Wilder,County Sheriff,,R,Warrick,Ohio 2,982,336,109,0
No Candidate Filed,County Sheriff,,D,Warrick,Ohio 2,982,0,0,0
Sarah E. Redman,County Assessor,,R,Warrick,Ohio 2,982,326,107,0
No Candidate Filed,County Assessor,,D,Warrick,Ohio 2,982,0,0,0
Terry Phillippe,Co Commissioner,2,R,Warrick,Ohio 2,982,270,89,0
Mark Warren,Co Commissioner,2,D,Warrick,Ohio 2,982,108,81,0
Richard A. Reid,County Council,2,R,Warrick,Ohio 2,982,264,86,0
Christopher Weyer,County Council,2,D,Warrick,Ohio 2,982,114,82,0
Chad Bennett,Ohio Twp Trustee,,R,Warrick,Ohio 2,982,283,90,0
Grant L. Gerling,Ohio Twp Trustee,,D,Warrick,Ohio 2,982,97,80,0
Nancy Grimes Bennett,Ohio Twp Advisory Board,,R,Warrick,Ohio 2,982,255,87,0
Debbie Reid,Ohio Twp Advisory Board,,R,Warrick,Ohio 2,982,239,76,0
Michael Wilson,Ohio Twp Advisory Board,,R,Warrick,Ohio 2,982,237,81,0
John C. Barner,Ohio Twp Advisory Board,,D,Warrick,Ohio 2,982,80,61,0
Mary Cole Platz,Ohio Twp Advisory Board,,D,Warrick,Ohio 2,982,90,72,0
"Kristopher ""Kris"" Stallins",Ohio Twp Advisory Board,,D,Warrick,Ohio 2,982,96,69,0
Jordan M. Aigner,School Board Member,,NP,Warrick,Ohio 2,982,126,58,0
Jeffrey B. Baker,School Board Member,,NP,Warrick,Ohio 2,982,144,65,0
Stephanie Gerhardt,School Board Member,,NP,Warrick,Ohio 2,982,156,59,0
Tabitha Heilman,School Board Member,,NP,Warrick,Ohio 2,982,126,50,0
Elissa Jones,School Board Member,,NP,Warrick,Ohio 2,982,84,43,0
Rick Dean Madden,School Board Member,,NP,Warrick,Ohio 2,982,78,28,0
Candace S. Nance,School Board Member,,NP,Warrick,Ohio 2,982,139,62,0
"""Nancy"" Anne J. Parker",School Board Member,,NP,Warrick,Ohio 2,982,84,41,0
Thomas L. Welch,School Board Member,,NP,Warrick,Ohio 2,982,123,46,0
Jane Wilhelmus,School Board Member,,NP,Warrick,Ohio 2,982,161,78,0
Yes,Justice IN Supreme Ct Slaughter,,,Warrick,Ohio 2,982,255,105,0
No,Justice IN Supreme Ct Slaughter,,,Warrick,Ohio 2,982,78,31,0
Yes,Judge IN Ct Appeals D2 Altice,,,Warrick,Ohio 2,982,261,104,0
No,Judge IN Ct Appeals D2 Altice,,,Warrick,Ohio 2,982,70,31,0
Yes,Public Question,,,Warrick,Ohio 16,476,129,32,0
No,Public Question,,,Warrick,Ohio 16,476,39,6,0
Mike Braun,U.S. Senate,,R,Warrick,Ohio 16,476,102,25,0
Joe Donnelly,U.S. Senate,,D,Warrick,Ohio 16,476,92,28,0
Lucy M. Brenton,U.S. Senate,,L,Warrick,Ohio 16,476,9,0,0
Write-In,U.S. Senate,,,Warrick,Ohio 16,476,0,0,0
Connie Lawson,Secretary of State,,R,Warrick,Ohio 16,476,107,26,0
Jim Harper,Secretary of State,,D,Warrick,Ohio 16,476,86,27,0
Mark W. Rutherford,Secretary of State,,L,Warrick,Ohio 16,476,8,0,0
Write-In,Secretary of State,,,Warrick,Ohio 16,476,0,0,0
Tera Klutz,Auditor of State,,R,Warrick,Ohio 16,476,110,25,0
Joselyn Whitticker,Auditor of State,,D,Warrick,Ohio 16,476,84,28,0
John Schick,Auditor of State,,L,Warrick,Ohio 16,476,8,0,0
Kelly Mitchell,Treasurer of State,,R,Warrick,Ohio 16,476,116,26,0
John C. Aguilera,Treasurer of State,,D,Warrick,Ohio 16,476,84,27,0
Larry D. Bucshon,U.S. House,8,R,Warrick,Ohio 16,476,116,25,0
William Tanoos,U.S. House,8,D,Warrick,Ohio 16,476,86,28,0
Write-In,U.S. House,8,,Warrick,Ohio 16,476,0,0,0
Ron Bacon,State House,75,R,Warrick,Ohio 16,476,118,26,0
John Hurley,State House,75,D,Warrick,Ohio 16,476,83,27,0
J. Zach Winsett,Judge of Superior Court No. 1,,R,Warrick,Ohio 16,476,151,32,0
No Candidate Filed,Judge of Superior Court No. 1,,D,Warrick,Ohio 16,476,0,0,0
Amy Steinkamp Miskimen,Judge of Superior Court No. 2,,R,Warrick,Ohio 16,476,151,32,0
No Candidate Filed,Judge of Superior Court No. 2,,D,Warrick,Ohio 16,476,0,0,0
Michael J. Perry,Prosecuting Attorney 2nd Circuit,,R,Warrick,Ohio 16,476,149,29,0
No Candidate Filed,Prosecuting Attorney 2nd Circuit,,D,Warrick,Ohio 16,476,0,0,0
"Deborah ""Debbie"" Stevens",County Auditor,,R,Warrick,Ohio 16,476,108,25,0
Chelsea Ballis,County Auditor,,D,Warrick,Ohio 16,476,92,27,0
Michael Wilder,County Sheriff,,R,Warrick,Ohio 16,476,149,28,0
No Candidate Filed,County Sheriff,,D,Warrick,Ohio 16,476,0,0,0
Sarah E. Redman,County Assessor,,R,Warrick,Ohio 16,476,148,28,0
No Candidate Filed,County Assessor,,D,Warrick,Ohio 16,476,0,0,0
Terry Phillippe,Co Commissioner,2,R,Warrick,Ohio 16,476,114,26,0
Mark Warren,Co Commissioner,2,D,Warrick,Ohio 16,476,85,26,0
Cindy Ledbetter,County Council,1,R,Warrick,Ohio 16,476,150,29,0
No Candidate Filed,County Council,1,D,Warrick,Ohio 16,476,0,0,0
Chad Bennett,Ohio Twp Trustee,,R,Warrick,Ohio 16,476,114,27,0
Grant L. Gerling,Ohio Twp Trustee,,D,Warrick,Ohio 16,476,86,25,0
Nancy Grimes Bennett,Ohio Twp Advisory Board,,R,Warrick,Ohio 16,476,99,16,0
Debbie Reid,Ohio Twp Advisory Board,,R,Warrick,Ohio 16,476,97,16,0
Michael Wilson,Ohio Twp Advisory Board,,R,Warrick,Ohio 16,476,97,15,0
John C. Barner,Ohio Twp Advisory Board,,D,Warrick,Ohio 16,476,72,20,0
Mary Cole Platz,Ohio Twp Advisory Board,,D,Warrick,Ohio 16,476,75,22,0
"Kristopher ""Kris"" Stallins",Ohio Twp Advisory Board,,D,Warrick,Ohio 16,476,75,20,0
Jordan M. Aigner,School Board Member,,NP,Warrick,Ohio 16,476,60,9,0
Jeffrey B. Baker,School Board Member,,NP,Warrick,Ohio 16,476,64,16,0
Stephanie Gerhardt,School Board Member,,NP,Warrick,Ohio 16,476,68,13,0
Tabitha Heilman,School Board Member,,NP,Warrick,Ohio 16,476,56,12,0
Elissa Jones,School Board Member,,NP,Warrick,Ohio 16,476,34,7,0
Rick Dean Madden,School Board Member,,NP,Warrick,Ohio 16,476,34,8,0
Candace S. Nance,School Board Member,,NP,Warrick,Ohio 16,476,65,14,0
"""Nancy"" Anne J. Parker",School Board Member,,NP,Warrick,Ohio 16,476,55,10,0
Thomas L. Welch,School Board Member,,NP,Warrick,Ohio 16,476,50,13,0
Jane Wilhelmus,School Board Member,,NP,Warrick,Ohio 16,476,75,18,0
Yes,Justice IN Supreme Ct Slaughter,,,Warrick,Ohio 16,476,117,25,0
No,Justice IN Supreme Ct Slaughter,,,Warrick,Ohio 16,476,42,9,0
Yes,Judge IN Ct Appeals D2 Altice,,,Warrick,Ohio 16,476,119,26,0
No,Judge IN Ct Appeals D2 Altice,,,Warrick,Ohio 16,476,35,10,0
Yes,Public Question,,,Warrick,Ohio 14,1241,229,50,0
No,Public Question,,,Warrick,Ohio 14,1241,106,16,0
Mike Braun,U.S. Senate,,R,Warrick,Ohio 14,1241,256,38,0
Joe Donnelly,U.S. Senate,,D,Warrick,Ohio 14,1241,202,51,0
Lucy M. Brenton,U.S. Senate,,L,Warrick,Ohio 14,1241,22,3,0
Write-In,U.S. Senate,,,Warrick,Ohio 14,1241,1,0,0
Connie Lawson,Secretary of State,,R,Warrick,Ohio 14,1241,265,42,0
Jim Harper,Secretary of State,,D,Warrick,Ohio 14,1241,192,47,0
Mark W. Rutherford,Secretary of State,,L,Warrick,Ohio 14,1241,19,3,0
Write-In,Secretary of State,,,Warrick,Ohio 14,1241,1,0,0
Tera Klutz,Auditor of State,,R,Warrick,Ohio 14,1241,256,43,0
Joselyn Whitticker,Auditor of State,,D,Warrick,Ohio 14,1241,200,49,0
John Schick,Auditor of State,,L,Warrick,Ohio 14,1241,16,1,0
Kelly Mitchell,Treasurer of State,,R,Warrick,Ohio 14,1241,284,40,0
John C. Aguilera,Treasurer of State,,D,Warrick,Ohio 14,1241,191,51,0
Larry D. Bucshon,U.S. House,8,R,Warrick,Ohio 14,1241,285,41,0
William Tanoos,U.S. House,8,D,Warrick,Ohio 14,1241,192,51,0
Write-In,U.S. House,8,,Warrick,Ohio 14,1241,0,0,0
Ron Bacon,State House,75,R,Warrick,Ohio 14,1241,298,50,0
John Hurley,State House,75,D,Warrick,Ohio 14,1241,179,46,0
J. Zach Winsett,Judge of Superior Court No. 1,,R,Warrick,Ohio 14,1241,364,61,0
No Candidate Filed,Judge of Superior Court No. 1,,D,Warrick,Ohio 14,1241,0,0,0
Amy Steinkamp Miskimen,Judge of Superior Court No. 2,,R,Warrick,Ohio 14,1241,365,59,0
No Candidate Filed,Judge of Superior Court No. 2,,D,Warrick,Ohio 14,1241,0,0,0
Michael J. Perry,Prosecuting Attorney 2nd Circuit,,R,Warrick,Ohio 14,1241,350,54,0
No Candidate Filed,Prosecuting Attorney 2nd Circuit,,D,Warrick,Ohio 14,1241,0,0,0
"Deborah ""Debbie"" Stevens",County Auditor,,R,Warrick,Ohio 14,1241,274,43,0
Chelsea Ballis,County Auditor,,D,Warrick,Ohio 14,1241,199,49,0
Michael Wilder,County Sheriff,,R,Warrick,Ohio 14,1241,360,59,0
No Candidate Filed,County Sheriff,,D,Warrick,Ohio 14,1241,0,0,0
Sarah E. Redman,County Assessor,,R,Warrick,Ohio 14,1241,357,57,0
No Candidate Filed,County Assessor,,D,Warrick,Ohio 14,1241,0,0,0
Terry Phillippe,Co Commissioner,2,R,Warrick,Ohio 14,1241,283,42,0
Mark Warren,Co Commissioner,2,D,Warrick,Ohio 14,1241,194,53,0
David P. Hachmeister,County Council,4,R,Warrick,Ohio 14,1241,289,41,0
Nancy Ann Woolsey,County Council,4,D,Warrick,Ohio 14,1241,182,52,0
Chad Bennett,Ohio Twp Trustee,,R,Warrick,Ohio 14,1241,285,41,0
Grant L. Gerling,Ohio Twp Trustee,,D,Warrick,Ohio 14,1241,191,54,0
Nancy Grimes Bennett,Ohio Twp Advisory Board,,R,Warrick,Ohio 14,1241,226,33,0
Debbie Reid,Ohio Twp Advisory Board,,R,Warrick,Ohio 14,1241,208,25,0
Michael Wilson,Ohio Twp Advisory Board,,R,Warrick,Ohio 14,1241,218,29,0
John C. Barner,Ohio Twp Advisory Board,,D,Warrick,Ohio 14,1241,156,42,0
Mary Cole Platz,Ohio Twp Advisory Board,,D,Warrick,Ohio 14,1241,158,34,0
"Kristopher ""Kris"" Stallins",Ohio Twp Advisory Board,,D,Warrick,Ohio 14,1241,174,39,0
Ron Whitledge,Town Council Dist 4 Chandler,,R,Warrick,Ohio 14,1241,93,22,0
Brett Healy,Town Council Dist 4 Chandler,,I,Warrick,Ohio 14,1241,43,11,0
Jordan M. Aigner,School Board Member,,NP,Warrick,Ohio 14,1241,178,27,0
Jeffrey B. Baker,School Board Member,,NP,Warrick,Ohio 14,1241,196,29,0
Stephanie Gerhardt,School Board Member,,NP,Warrick,Ohio 14,1241,166,19,0
Tabitha Heilman,School Board Member,,NP,Warrick,Ohio 14,1241,146,26,0
Elissa Jones,School Board Member,,NP,Warrick,Ohio 14,1241,73,20,0
Rick Dean Madden,School Board Member,,NP,Warrick,Ohio 14,1241,123,22,0
Candace S. Nance,School Board Member,,NP,Warrick,Ohio 14,1241,131,28,0
