county,precinct,office,district,candidate,party,votes,absentee,election_day,provisional
Marshall,NORTH 3,Treasurer of State,,John C. Aguilera,D,117,43,74,0
Marshall,NORTH 3,U.S. House,2,Jackie Walorski,R,274,94,180,0
Marshall,NORTH 3,U.S. House,2,Mel Hall,D,148,57,91,0
Marshall,NORTH 3,U.S. House,2,Write in,,0,0,0,0
Marshall,NORTH 3,State Representative,17,Jack Jordan,R,293,101,192,0
Marshall,NORTH 3,State Representative,17,Michelle Livinghouse,D,123,48,75,0
Marshall,POLK 1,Registered Voters,,,,876,,,
Marshall,POLK 1,Ballots Cast,,,,374,,,
Marshall,POLK 1,U.S. Senate,,Mike Braun,R,272,51,221,0
Marshall,POLK 1,U.S. Senate,,Joe Donnelly,D,172,39,133,0
Marshall,POLK 1,U.S. Senate,,Lucy M Brenton,L,15,1,14,0
Marshall,POLK 1,U.S. Senate,,Write in,,1,0,1,0
Marshall,POLK 1,Secretary of State,,Connie Lawson,R,299,53,246,0
Marshall,POLK 1,Secretary of State,,Jim Harper,D,131,31,100,0
Marshall,POLK 1,Secretary of State,,Mark W. Rutherford,L,19,4,15,0
Marshall,POLK 1,Secretary of State,,Write in,,0,0,0,0
Marshall,POLK 1,Auditor of State,,Tera Klutz,R,298,53,245,0
Marshall,POLK 1,Auditor of State,,Joselyn Whitticker,D,133,32,101,0
Marshall,POLK 1,Auditor of State,,John Schick,L,16,2,14,0
Marshall,POLK 1,Treasurer of State,,Kelly Mitchell,R,317,56,261,0
Marshall,POLK 1,Treasurer of State,,John C. Aguilera,D,128,31,97,0
Marshall,POLK 1,U.S. House,2,Jackie Walorski,R,291,50,241,0
Marshall,POLK 1,U.S. House,2,Mel Hall,D,170,40,130,0
Marshall,POLK 1,U.S. House,2,Write in,,0,0,0,0
Marshall,POLK 1,State Representative,17,Jack Jordan,R,305,55,250,0
Marshall,POLK 1,State Representative,17,Michelle Livinghouse,D,145,34,111,0
Marshall,POLK 2,Registered Voters,,,,1062,,,
Marshall,POLK 2,Ballots Cast,,,,431,,,
Marshall,POLK 2,U.S. Senate,,Mike Braun,R,328,75,253,0
Marshall,POLK 2,U.S. Senate,,Joe Donnelly,D,197,46,151,0
Marshall,POLK 2,U.S. Senate,,Lucy M Brenton,L,33,8,25,0
Marshall,POLK 2,U.S. Senate,,Write in,,0,0,0,0
Marshall,POLK 2,Secretary of State,,Connie Lawson,R,384,93,291,0
Marshall,POLK 2,Secretary of State,,Jim Harper,D,144,34,110,0
Marshall,POLK 2,Secretary of State,,Mark W. Rutherford,L,23,2,21,0
Marshall,POLK 2,Secretary of State,,Write in,,0,0,0,0
Marshall,POLK 2,Auditor of State,,Tera Klutz,R,366,86,280,0
Marshall,POLK 2,Auditor of State,,Joselyn Whitticker,D,147,36,111,0
Marshall,POLK 2,Auditor of State,,John Schick,L,31,3,28,0
Marshall,POLK 2,Treasurer of State,,Kelly Mitchell,R,388,92,296,0
Marshall,POLK 2,Treasurer of State,,John C. Aguilera,D,154,35,119,0
Marshall,POLK 2,U.S. House,2,Jackie Walorski,R,334,83,251,0
Marshall,POLK 2,U.S. House,2,Mel Hall,D,218,45,173,0
Marshall,POLK 2,U.S. House,2,Write in,,1,0,1,0
Marshall,POLK 2,State Representative,17,Jack Jordan,R,380,90,290,0
Marshall,POLK 2,State Representative,17,Michelle Livinghouse,D,164,37,127,0
Marshall,TIPPECANOE,Registered Voters,,,,799,,,
Marshall,TIPPECANOE,Ballots Cast,,,,383,,,
Marshall,TIPPECANOE,U.S. Senate,,Mike Braun,R,296,30,266,0
Marshall,TIPPECANOE,U.S. Senate,,Joe Donnelly,D,113,14,99,0
Marshall,TIPPECANOE,U.S. Senate,,Lucy M Brenton,L,13,0,13,0
Marshall,TIPPECANOE,U.S. Senate,,Write in,,0,0,0,0
Marshall,TIPPECANOE,Secretary of State,,Connie Lawson,R,330,32,298,0
Marshall,TIPPECANOE,Secretary of State,,Jim Harper,D,73,12,61,0
Marshall,TIPPECANOE,Secretary of State,,Mark W. Rutherford,L,16,1,15,0
Marshall,TIPPECANOE,Secretary of State,,Write in,,0,0,0,0
Marshall,TIPPECANOE,Auditor of State,,Tera Klutz,R,315,33,282,0
Marshall,TIPPECANOE,Auditor of State,,Joselyn Whitticker,D,88,11,77,0
Marshall,TIPPECANOE,Auditor of State,,John Schick,L,18,2,16,0
Marshall,TIPPECANOE,Treasurer of State,,Kelly Mitchell,R,340,34,306,0
Marshall,TIPPECANOE,Treasurer of State,,John C. Aguilera,D,78,12,66,0
Marshall,TIPPECANOE,U.S. House,2,Jackie Walorski,R,313,29,284,0
Marshall,TIPPECANOE,U.S. House,2,Mel Hall,D,106,16,90,0
Marshall,TIPPECANOE,U.S. House,2,Write in,,0,0,0,0
Marshall,TIPPECANOE,State Representative,17,Jack Jordan,R,332,33,299,0
Marshall,TIPPECANOE,State Representative,17,Michelle Livinghouse,D,87,11,76,0
Marshall,UNION 1,Registered Voters,,,,927,,,
Marshall,UNION 1,Ballots Cast,,,,258,,,
Marshall,UNION 1,U.S. Senate,,Mike Braun,R,269,142,127,0
Marshall,UNION 1,U.S. Senate,,Joe Donnelly,D,244,126,118,0
Marshall,UNION 1,U.S. Senate,,Lucy M Brenton,L,20,9,11,0
Marshall,UNION 1,U.S. Senate,,Write in,,0,0,0,0
Marshall,UNION 1,Secretary of State,,Connie Lawson,R,295,155,140,0
Marshall,UNION 1,Secretary of State,,Jim Harper,D,208,112,96,0
Marshall,UNION 1,Secretary of State,,Mark W. Rutherford,L,27,9,18,0
Marshall,UNION 1,Secretary of State,,Write in,,0,0,0,0
Marshall,UNION 1,Auditor of State,,Tera Klutz,R,299,157,142,0
Marshall,UNION 1,Auditor of State,,Joselyn Whitticker,D,185,99,86,0
Marshall,UNION 1,Auditor of State,,John Schick,L,27,12,15,0
Marshall,UNION 1,Treasurer of State,,Kelly Mitchell,R,310,162,148,0
Marshall,UNION 1,Treasurer of State,,John C. Aguilera,D,193,103,90,0
Marshall,UNION 1,U.S. House,2,Jackie Walorski,R,278,149,129,0
Marshall,UNION 1,U.S. House,2,Mel Hall,D,246,125,121,0
Marshall,UNION 1,U.S. House,2,Write in,,2,0,2,0
Marshall,UNION 1,State Representative,17,Jack Jordan,R,296,152,144,0
Marshall,UNION 1,State Representative,17,Michelle Livinghouse,D,221,116,105,0
Marshall,UNION 2,Registered Voters,,,,1295,,,
Marshall,UNION 2,Ballots Cast,,,,436,,,
Marshall,UNION 2,U.S. Senate,,Mike Braun,R,394,146,248,0
Marshall,UNION 2,U.S. Senate,,Joe Donnelly,D,323,153,170,0
Marshall,UNION 2,U.S. Senate,,Lucy M Brenton,L,27,12,15,0
Marshall,UNION 2,U.S. Senate,,Write in,,0,0,0,0
Marshall,UNION 2,Secretary of State,,Connie Lawson,R,453,179,274,0
Marshall,UNION 2,Secretary of State,,Jim Harper,D,252,120,132,0
Marshall,UNION 2,Secretary of State,,Mark W. Rutherford,L,28,8,20,0
Marshall,UNION 2,Secretary of State,,Write in,,0,0,0,0
Marshall,UNION 2,Auditor of State,,Tera Klutz,R,455,179,276,0
Marshall,UNION 2,Auditor of State,,Joselyn Whitticker,D,238,111,127,0
Marshall,UNION 2,Auditor of State,,John Schick,L,25,12,13,0
Marshall,UNION 2,Treasurer of State,,Kelly Mitchell,R,478,187,291,0
Marshall,UNION 2,Treasurer of State,,John C. Aguilera,D,242,113,129,0
Marshall,UNION 2,U.S. House,2,Jackie Walorski,R,423,176,247,0
Marshall,UNION 2,U.S. House,2,Mel Hall,D,323,139,184,0
Marshall,UNION 2,U.S. House,2,Write in,,1,0,1,0
Marshall,UNION 2,State Representative,17,Jack Jordan,R,451,173,278,0
Marshall,UNION 2,State Representative,17,Michelle Livinghouse,D,277,131,146,0
Marshall,WALNUT 1,Registered Voters,,,,918,,,
Marshall,WALNUT 1,Ballots Cast,,,,364,,,
Marshall,WALNUT 1,U.S. Senate,,Mike Braun,R,242,38,204,0
Marshall,WALNUT 1,U.S. Senate,,Joe Donnelly,D,166,36,130,0
Marshall,WALNUT 1,U.S. Senate,,Lucy M Brenton,L,24,2,22,0
Marshall,WALNUT 1,U.S. Senate,,Write in,,1,0,1,0
Marshall,WALNUT 1,Secretary of State,,Connie Lawson,R,268,43,225,0
Marshall,WALNUT 1,Secretary of State,,Jim Harper,D,134,27,107,0
Marshall,WALNUT 1,Secretary of State,,Mark W. Rutherford,L,25,3,22,0
Marshall,WALNUT 1,Secretary of State,,Write in,,1,0,1,0
Marshall,WALNUT 1,Auditor of State,,Tera Klutz,R,269,45,224,0
Marshall,WALNUT 1,Auditor of State,,Joselyn Whitticker,D,138,27,111,0
Marshall,WALNUT 1,Auditor of State,,John Schick,L,23,0,23,0
Marshall,WALNUT 1,Treasurer of State,,Kelly Mitchell,R,291,45,246,0
Marshall,WALNUT 1,Treasurer of State,,John C. Aguilera,D,132,27,105,0
Marshall,WALNUT 1,U.S. House,2,Jackie Walorski,R,249,43,206,0
Marshall,WALNUT 1,U.S. House,2,Mel Hall,D,172,30,142,0
Marshall,WALNUT 1,U.S. House,2,Write in,,3,0,3,0
Marshall,WALNUT 1,State Representative,17,Jack Jordan,R,268,44,224,0
Marshall,WALNUT 1,State Representative,17,Michelle Livinghouse,D,161,31,130,0
Marshall,WALNUT 2,Registered Voters,,,,635,,,
Marshall,WALNUT 2,Ballots Cast,,,,305,,,
Marshall,WALNUT 2,U.S. Senate,,Mike Braun,R,248,39,209,0
Marshall,WALNUT 2,U.S. Senate,,Joe Donnelly,D,107,26,81,0
Marshall,WALNUT 2,U.S. Senate,,Lucy M Brenton,L,10,1,9,0
Marshall,WALNUT 2,U.S. Senate,,Write in,,0,0,0,0
Marshall,WALNUT 2,Secretary of State,,Connie Lawson,R,286,50,236,0
Marshall,WALNUT 2,Secretary of State,,Jim Harper,D,70,16,54,0
Marshall,WALNUT 2,Secretary of State,,Mark W. Rutherford,L,9,1,8,0
Marshall,WALNUT 2,Secretary of State,,Write in,,0,0,0,0
Marshall,WALNUT 2,Auditor of State,,Tera Klutz,R,274,45,229,0
Marshall,WALNUT 2,Auditor of State,,Joselyn Whitticker,D,81,19,62,0
Marshall,WALNUT 2,Auditor of State,,John Schick,L,9,1,8,0
Marshall,WALNUT 2,Treasurer of State,,Kelly Mitchell,R,287,46,241,0
Marshall,WALNUT 2,Treasurer of State,,John C. Aguilera,D,75,20,55,0
Marshall,WALNUT 2,U.S. House,2,Jackie Walorski,R,265,46,219,0
Marshall,WALNUT 2,U.S. House,2,Mel Hall,D,102,21,81,0
Marshall,WALNUT 2,U.S. House,2,Write in,,0,0,0,0
Marshall,WALNUT 2,State Representative,17,Jack Jordan,R,277,46,231,0
Marshall,WALNUT 2,State Representative,17,Michelle Livinghouse,D,89,20,69,0
Marshall,WEST-City of Plymouth,Registered Voters,,,,1,,,
Marshall,WEST-City of Plymouth,Ballots Cast,,,,0,,,
Marshall,WEST-City of Plymouth,U.S. Senate,,Mike Braun,R,0,0,0,0
Marshall,WEST-City of Plymouth,U.S. Senate,,Joe Donnelly,D,0,0,0,0
Marshall,WEST-City of Plymouth,U.S. Senate,,Lucy M Brenton,L,0,0,0,0
Marshall,WEST-City of Plymouth,U.S. Senate,,Write in,,0,0,0,0
Marshall,WEST-City of Plymouth,Secretary of State,,Connie Lawson,R,0,0,0,0
Marshall,WEST-City of Plymouth,Secretary of State,,Jim Harper,D,0,0,0,0
Marshall,WEST-City of Plymouth,Secretary of State,,Mark W. Rutherford,L,0,0,0,0
Marshall,WEST-City of Plymouth,Secretary of State,,Write in,,0,0,0,0
Marshall,WEST-City of Plymouth,Auditor of State,,Tera Klutz,R,0,0,0,0
Marshall,WEST-City of Plymouth,Auditor of State,,Joselyn Whitticker,D,0,0,0,0
Marshall,WEST-City of Plymouth,Auditor of State,,John Schick,L,0,0,0,0
Marshall,WEST-City of Plymouth,Treasurer of State,,Kelly Mitchell,R,0,0,0,0
Marshall,WEST-City of Plymouth,Treasurer of State,,John C. Aguilera,D,0,0,0,0
Marshall,WEST-City of Plymouth,U.S. House,2,Jackie Walorski,R,0,0,0,0
Marshall,WEST-City of Plymouth,U.S. House,2,Mel Hall,D,0,0,0,0
Marshall,WEST-City of Plymouth,U.S. House,2,Write in,,0,0,0,0
Marshall,WEST-City of Plymouth,State Representative,17,Jack Jordan,R,0,0,0,0
Marshall,WEST-City of Plymouth,State Representative,17,Michelle Livinghouse,D,0,0,0,0
Marshall,WEST 1,Registered Voters,,,,918,,,
Marshall,WEST 1,Ballots Cast,,,,339,,,
Marshall,WEST 1,U.S. Senate,,Mike Braun,R,268,70,198,0
Marshall,WEST 1,U.S. Senate,,Joe Donnelly,D,216,90,126,0
Marshall,WEST 1,U.S. Senate,,Lucy M Brenton,L,16,4,12,0
Marshall,WEST 1,U.S. Senate,,Write in,,0,0,0,0
Marshall,WEST 1,Secretary of State,,Connie Lawson,R,307,83,224,0
Marshall,WEST 1,Secretary of State,,Jim Harper,D,167,73,94,0
Marshall,WEST 1,Secretary of State,,Mark W. Rutherford,L,15,2,13,0
Marshall,WEST 1,Secretary of State,,Write in,,0,0,0,0
Marshall,WEST 1,Auditor of State,,Tera Klutz,R,296,79,217,0
Marshall,WEST 1,Auditor of State,,Joselyn Whitticker,D,172,75,97,0
Marshall,WEST 1,Auditor of State,,John Schick,L,16,2,14,0
Marshall,WEST 1,Treasurer of State,,Kelly Mitchell,R,313,82,231,0
Marshall,WEST 1,Treasurer of State,,John C. Aguilera,D,172,74,98,0
Marshall,WEST 1,U.S. House,2,Jackie Walorski,R,291,80,211,0
Marshall,WEST 1,U.S. House,2,Mel Hall,D,205,81,124,0
Marshall,WEST 1,U.S. House,2,Write in,,0,0,0,0
Marshall,WEST 1,State Representative,17,Jack Jordan,R,306,87,219,0
Marshall,WEST 1,State Representative,17,Michelle Livinghouse,D,188,72,116,0
Marshall,WEST 2,Registered Voters,,,,928,,,
Marshall,WEST 2,Ballots Cast,,,,387,,,
Marshall,WEST 2,U.S. Senate,,Mike Braun,R,309,68,241,0
Marshall,WEST 2,U.S. Senate,,Joe Donnelly,D,170,43,127,0
Marshall,WEST 2,U.S. Senate,,Lucy M Brenton,L,19,2,17,0
Marshall,WEST 2,U.S. Senate,,Write in,,0,0,0,0
Marshall,WEST 2,Secretary of State,,Connie Lawson,R,335,73,262,0
Marshall,WEST 2,Secretary of State,,Jim Harper,D,138,38,100,0
Marshall,WEST 2,Secretary of State,,Mark W. Rutherford,L,21,2,19,0
Marshall,WEST 2,Secretary of State,,Write in,,1,0,1,0
Marshall,WEST 2,Auditor of State,,Tera Klutz,R,330,74,256,0
Marshall,WEST 2,Auditor of State,,Joselyn Whitticker,D,142,34,108,0
Marshall,WEST 2,Auditor of State,,John Schick,L,20,2,18,0
Marshall,WEST 2,Treasurer of State,,Kelly Mitchell,R,347,76,271,0
Marshall,WEST 2,Treasurer of State,,John C. Aguilera,D,145,34,111,0
Marshall,WEST 2,U.S. House,2,Jackie Walorski,R,313,69,244,0
Marshall,WEST 2,U.S. House,2,Mel Hall,D,182,43,139,0
Marshall,WEST 2,U.S. House,2,Write in,,0,0,0,0
Marshall,WEST 2,State Representative,17,Jack Jordan,R,335,73,262,0
Marshall,WEST 2,State Representative,17,Michelle Livinghouse,D,160,39,121,0
Marshall,WEST 3,Registered Voters,,,,901,,,
Marshall,WEST 3,Ballots Cast,,,,347,,,
Marshall,WEST 3,U.S. Senate,,Mike Braun,R,307,103,204,0
Marshall,WEST 3,U.S. Senate,,Joe Donnelly,D,222,96,126,0
Marshall,WEST 3,U.S. Senate,,Lucy M Brenton,L,16,3,13,0
Marshall,WEST 3,U.S. Senate,,Write in,,0,0,0,0
Marshall,WEST 3,Secretary of State,,Connie Lawson,R,357,126,231,0
Marshall,WEST 3,Secretary of State,,Jim Harper,D,167,69,98,0
Marshall,WEST 3,Secretary of State,,Mark W. Rutherford,L,18,5,13,0
Marshall,WEST 3,Secretary of State,,Write in,,0,0,0,0
Marshall,WEST 3,Auditor of State,,Tera Klutz,R,350,121,229,0
Marshall,WEST 3,Auditor of State,,Joselyn Whitticker,D,165,71,94,0
Marshall,WEST 3,Auditor of State,,John Schick,L,20,5,15,0
Marshall,WEST 3,Treasurer of State,,Kelly Mitchell,R,373,128,245,0
Marshall,WEST 3,Treasurer of State,,John C. Aguilera,D,161,67,94,0
Marshall,WEST 3,U.S. House,2,Jackie Walorski,R,333,118,215,0
Marshall,WEST 3,U.S. House,2,Mel Hall,D,212,85,127,0
Marshall,WEST 3,U.S. House,2,Write in,,0,0,0,0
Marshall,WEST 3,State Representative,17,Jack Jordan,R,351,123,228,0
Marshall,WEST 3,State Representative,17,Michelle Livinghouse,D,190,78,112,0
